claim_id,unit_id,documento,pagina,seccion,tema,subtema,tipo_de_afirmacion,sujeto,afirmacion_normalizada,condiciones,excepciones,periodo,cifra_o_unidad,cita_textual,observaciones
CA-00012,A-000010,v4.1,,Document Control,Intended audience,Intended audience,definicion,Intended audience,"If a behavior is not described here, it does not exist on the site","If a behavior is not described here, it does not exist on the site",,,,"If a behavior is not described here, it does not exist on the site. If a behavior contradicts this document, this document wins until a new version is issued. [@body[12]]",auto-atomized from A-000010 (paragraph); seg 1/2; tipo heuristic
CA-00013,A-000010,v4.1,,Document Control,Intended audience,Intended audience,definicion,Intended audience,"If a behavior contradicts this document, this document wins until a new version is issued.","If a behavior contradicts this document, this document wins until a new version is issued.",,,,"If a behavior is not described here, it does not exist on the site. If a behavior contradicts this document, this document wins until a new version is issued. [@body[12]]",auto-atomized from A-000010 (paragraph); seg 2/2; tipo heuristic
CA-00014,A-000011,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,How to read this document,,,,,How to read this document [@body[13]/Heading4],auto-atomized from A-000011 (heading); seg 1/1; tipo heuristic
CA-00015,A-000012,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,The document is organized in six parts plus four appendices.,,,,,The document is organized in six parts plus four appendices. [@body[14]],auto-atomized from A-000012 (paragraph); seg 1/1; tipo heuristic
CA-00016,A-000013,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Part 1-Project Fundamentals,,,,1-Project,"Part 1-Project Fundamentals. Audience, business objectives, brand positioning, success measures. [@body[15]]",auto-atomized from A-000013 (paragraph); seg 1/2; tipo heuristic
CA-00017,A-000013,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,"Audience, business objectives, brand positioning, success measures.",,,,,"Part 1-Project Fundamentals. Audience, business objectives, brand positioning, success measures. [@body[15]]",auto-atomized from A-000013 (paragraph); seg 2/2; tipo heuristic
CA-00018,A-000014,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Part 2 - Conventions,,,,2,"Part 2 - Conventions. Methodology declaration, code conventions, language conventions, scope boundary, how to read the matrices. [@body[16]]",auto-atomized from A-000014 (paragraph); seg 1/2; tipo heuristic
CA-00019,A-000014,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,"Methodology declaration, code conventions, language conventions, scope boundary, how to read the matrices.",,,,,"Part 2 - Conventions. Methodology declaration, code conventions, language conventions, scope boundary, how to read the matrices. [@body[16]]",auto-atomized from A-000014 (paragraph); seg 2/2; tipo heuristic
CA-00020,A-000015,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Part 3 - Information Architecture,,,,3,"Part 3 - Information Architecture. The 11 page types in scope plus the BES widget, the page count, the architecture diagram. [@body[17]]",auto-atomized from A-000015 (paragraph); seg 1/2; tipo heuristic
CA-00021,A-000015,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,"The 11 page types in scope plus the BES widget, the page count, the architecture diagram.",,,,11,"Part 3 - Information Architecture. The 11 page types in scope plus the BES widget, the page count, the architecture diagram. [@body[17]]",auto-atomized from A-000015 (paragraph); seg 2/2; tipo heuristic
CA-00022,A-000016,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Part 4 - Global Rules (Rule 1 to Rule 35),,,,4; 1; 35,Part 4 -  Global Rules (Rule 1 to Rule 35). Behavior that applies across the entire site. [@body[18]],auto-atomized from A-000016 (paragraph); seg 1/2; tipo heuristic
CA-00023,A-000016,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Behavior that applies across the entire site.,,,,,Part 4 -  Global Rules (Rule 1 to Rule 35). Behavior that applies across the entire site. [@body[18]],auto-atomized from A-000016 (paragraph); seg 2/2; tipo heuristic
CA-00024,A-000017,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Part 5 - Per-Page Behavior Matrices,,,,5,"Part 5 - Per-Page Behavior Matrices. One matrix per page type, showing what the user sees in each possible landing scenario. [@body[19]]",auto-atomized from A-000017 (paragraph); seg 1/2; tipo heuristic
CA-00025,A-000017,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,"One matrix per page type, showing what the user sees in each possible landing scenario.",,,,,"Part 5 - Per-Page Behavior Matrices. One matrix per page type, showing what the user sees in each possible landing scenario. [@body[19]]",auto-atomized from A-000017 (paragraph); seg 2/2; tipo heuristic
CA-00026,A-000018,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Part 6 -Edge Cases & Error States,,,,6,Part 6 -Edge Cases & Error States. What the site does when the happy path fails. [@body[20]],auto-atomized from A-000018 (paragraph); seg 1/2; tipo heuristic
CA-00027,A-000018,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,What the site does when the happy path fails.,What the site does when the happy path fails.,,,,Part 6 -Edge Cases & Error States. What the site does when the happy path fails. [@body[20]],auto-atomized from A-000018 (paragraph); seg 2/2; tipo heuristic
CA-00028,A-000019,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Appendix A - Privacy & Data Handling (Rule 36).,,,,36,Appendix A -  Privacy & Data Handling (Rule 36). [@body[21]],auto-atomized from A-000019 (paragraph); seg 1/1; tipo heuristic
CA-00029,A-000020,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Appendix B - Out-of-Scope Pages (Rule 37).,,,,37,Appendix B -  Out-of-Scope Pages (Rule 37). [@body[22]],auto-atomized from A-000020 (paragraph); seg 1/1; tipo heuristic
CA-00030,A-000021,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Appendix C - Glossary.,,,,,Appendix C -  Glossary. [@body[23]],auto-atomized from A-000021 (paragraph); seg 1/1; tipo heuristic
CA-00031,A-000022,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Appendix D - Code Reference.,,,,,Appendix D -  Code Reference. [@body[24]],auto-atomized from A-000022 (paragraph); seg 1/1; tipo heuristic
CA-00032,A-000023,v4.1,,Document Control,How to read this document,How to read this document,definicion,How to read this document,Rules are numbered globally so they can be referenced unambiguously.,,,,,Rules are numbered globally so they can be referenced unambiguously. [@body[26]],auto-atomized from A-000023 (paragraph); seg 1/1; tipo heuristic
CA-00033,A-000024,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Revision history,,,,,Revision history [@body[28]/Heading4],auto-atomized from A-000024 (heading); seg 1/1; tipo heuristic
CA-00034,A-000025,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Version,,,,,Version [@table@body[30]/r[0]/c[0]],auto-atomized from A-000025 (table_cell); seg 1/1; tipo heuristic
CA-00035,A-000026,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Date,,,,,Date [@table@body[30]/r[0]/c[1]],auto-atomized from A-000026 (table_cell); seg 1/1; tipo heuristic
CA-00036,A-000027,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Description,,,,,Description [@table@body[30]/r[0]/c[2]],auto-atomized from A-000027 (table_cell); seg 1/1; tipo heuristic
CA-00037,A-000028,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,1.0,,,,1.0,1.0 [@table@body[30]/r[1]/c[0]],auto-atomized from A-000028 (table_cell); seg 1/1; tipo heuristic
CA-00038,A-000029,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Feb,,,,,Feb [@table@body[30]/r[1]/c[1]],auto-atomized from A-000029 (table_cell); seg 1/1; tipo heuristic
CA-00039,A-000030,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Initial draft (sitemap + header rules),,,,,Initial draft (sitemap + header rules) [@table@body[30]/r[1]/c[2]],auto-atomized from A-000030 (table_cell); seg 1/1; tipo heuristic
CA-00040,A-000031,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,2026,,,,2026,2026 [@table@body[30]/r[2]/c[1]],auto-atomized from A-000031 (table_cell); seg 1/1; tipo heuristic
CA-00041,A-000032,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,2.0,,,,2.0,2.0 [@table@body[30]/r[3]/c[0]],auto-atomized from A-000032 (table_cell); seg 1/1; tipo heuristic
CA-00042,A-000033,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Mar,,,,,Mar [@table@body[30]/r[3]/c[1]],auto-atomized from A-000033 (table_cell); seg 1/1; tipo heuristic
CA-00043,A-000034,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Added questionnaire and contextual menu logic,,,,,Added questionnaire and contextual menu logic [@table@body[30]/r[3]/c[2]],auto-atomized from A-000034 (table_cell); seg 1/1; tipo heuristic
CA-00044,A-000035,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,2026,,,,2026,2026 [@table@body[30]/r[4]/c[1]],auto-atomized from A-000035 (table_cell); seg 1/1; tipo heuristic
CA-00045,A-000036,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,3.0,,,,3.0,3.0 [@table@body[30]/r[5]/c[0]],auto-atomized from A-000036 (table_cell); seg 1/1; tipo heuristic
CA-00046,A-000037,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,May,,,,,May [@table@body[30]/r[5]/c[1]],auto-atomized from A-000037 (table_cell); seg 1/1; tipo heuristic
CA-00047,A-000038,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Added per-page matrices for the 12 page types,,,,12,Added per-page matrices for the 12 page types [@table@body[30]/r[5]/c[2]],auto-atomized from A-000038 (table_cell); seg 1/1; tipo heuristic
CA-00048,A-000039,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,2026,,,,2026,2026 [@table@body[30]/r[6]/c[1]],auto-atomized from A-000039 (table_cell); seg 1/1; tipo heuristic
CA-00049,A-000040,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,4.0,,,,4.0,4.0 [@table@body[30]/r[7]/c[0]],auto-atomized from A-000040 (table_cell); seg 1/1; tipo heuristic
CA-00050,A-000041,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,May 2026,,,,2026,May 2026 [@table@body[30]/r[7]/c[1]],auto-atomized from A-000041 (table_cell); seg 1/1; tipo heuristic
CA-00051,A-000042,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Restructured to industry UX Specification format,,,,,"Restructured to industry UX Specification format. Added Project Fundamentals, Conventions, Edge Cases & Error States. Tightened glossary. [@table@body[30]/r[7]/c[2]]",auto-atomized from A-000042 (table_cell); seg 1/3; tipo heuristic
CA-00052,A-000042,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,"Added Project Fundamentals, Conventions, Edge Cases & Error States",,,,,"Restructured to industry UX Specification format. Added Project Fundamentals, Conventions, Edge Cases & Error States. Tightened glossary. [@table@body[30]/r[7]/c[2]]",auto-atomized from A-000042 (table_cell); seg 2/3; tipo heuristic
CA-00053,A-000042,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Tightened glossary.,,,,,"Restructured to industry UX Specification format. Added Project Fundamentals, Conventions, Edge Cases & Error States. Tightened glossary. [@table@body[30]/r[7]/c[2]]",auto-atomized from A-000042 (table_cell); seg 3/3; tipo heuristic
CA-00054,A-000043,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,4.1,,,,4.1,4.1 [@table@body[30]/r[8]/c[0]],auto-atomized from A-000043 (table_cell); seg 1/1; tipo heuristic
CA-00055,A-000044,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,May,,,,,May [@table@body[30]/r[8]/c[1]],auto-atomized from A-000044 (table_cell); seg 1/1; tipo heuristic
CA-00056,A-000045,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Strict-adherence revision applying industry best practices (UXmatters / NN/G /,,,,,Strict-adherence revision applying industry best practices (UXmatters / NN/G / [@table@body[30]/r[8]/c[2]],auto-atomized from A-000045 (table_cell); seg 1/1; tipo heuristic
CA-00057,A-000046,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,2026,,,,2026,2026 [@table@body[30]/r[9]/c[1]],auto-atomized from A-000046 (table_cell); seg 1/1; tipo heuristic
CA-00058,A-000047,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Atlassian),,,,,Atlassian). Corrected brand positioning to Premium fitness (with( Premium [@table@body[30]/r[9]/c[2]],auto-atomized from A-000047 (table_cell); seg 1/2; tipo heuristic
CA-00059,A-000047,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Corrected brand positioning to Premium fitness (with( Premium,,,,,Atlassian). Corrected brand positioning to Premium fitness (with( Premium [@table@body[30]/r[9]/c[2]],auto-atomized from A-000047 (table_cell); seg 2/2; tipo heuristic
CA-00060,A-000048,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,f ami1 y fitness ]only on FitKidz),,,,1,f ami1 y fitness ]only on FitKidz). Declared mobile-first as the methodology. [@table@body[30]/r[10]/c[1]],auto-atomized from A-000048 (table_cell); seg 1/2; tipo heuristic
CA-00061,A-000048,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Declared mobile-first as the methodology.,,,,,f ami1 y fitness ]only on FitKidz). Declared mobile-first as the methodology. [@table@body[30]/r[10]/c[1]],auto-atomized from A-000048 (table_cell); seg 2/2; tipo heuristic
CA-00062,A-000049,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,"Restructured BES as a global floating widget with /bes as fallback URL, not a destination page",,,,,"Restructured BES as a global floating widget with /bes as fallback URL, not a destination page. Added BES + WhatsApp reminder behavior with consent. Added [@table@body[30]/r[11]/c[1]]",auto-atomized from A-000049 (table_cell); seg 1/3; tipo heuristic
CA-00063,A-000049,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Added BES + WhatsApp reminder behavior with consent,,,,,"Restructured BES as a global floating widget with /bes as fallback URL, not a destination page. Added BES + WhatsApp reminder behavior with consent. Added [@table@body[30]/r[11]/c[1]]",auto-atomized from A-000049 (table_cell); seg 2/3; tipo heuristic
CA-00064,A-000049,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Added,,,,,"Restructured BES as a global floating widget with /bes as fallback URL, not a destination page. Added BES + WhatsApp reminder behavior with consent. Added [@table@body[30]/r[11]/c[1]]",auto-atomized from A-000049 (table_cell); seg 3/3; tipo heuristic
CA-00065,A-000050,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,explicit membership-no-checkout rule,,,,,explicit membership-no-checkout rule. Enumerated the 4 live data points per club. [@table@body[30]/r[12]/c[1]],auto-atomized from A-000050 (table_cell); seg 1/2; tipo heuristic
CA-00066,A-000050,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Enumerated the 4 live data points per club.,,,,4,explicit membership-no-checkout rule. Enumerated the 4 live data points per club. [@table@body[30]/r[12]/c[1]],auto-atomized from A-000050 (table_cell); seg 2/2; tipo heuristic
CA-00067,A-000051,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Adopted YMYL as canonical term,,,,,"Adopted YMYL as canonical term. Refined cross-linking, schema markup, FitKidz IA, [@table@body[30]/r[13]/c[1]]",auto-atomized from A-000051 (table_cell); seg 1/2; tipo heuristic
CA-00068,A-000051,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,"Refined cross-linking, schema markup, FitKidz IA,",,,,,"Adopted YMYL as canonical term. Refined cross-linking, schema markup, FitKidz IA, [@table@body[30]/r[13]/c[1]]",auto-atomized from A-000051 (table_cell); seg 2/2; tipo heuristic
CA-00069,A-000052,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,tap targets,,,,,tap targets. Removed all references to employee photographs (visual-asset rules live in [@table@body[30]/r[14]/c[1]],auto-atomized from A-000052 (table_cell); seg 1/2; tipo heuristic
CA-00070,A-000052,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Removed all references to employee photographs (visual-asset rules live in,,,,,tap targets. Removed all references to employee photographs (visual-asset rules live in [@table@body[30]/r[14]/c[1]],auto-atomized from A-000052 (table_cell); seg 2/2; tipo heuristic
CA-00071,A-000053,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,the partner brief),,,,,the partner brief). Added search-query precedence rule. Added stale-plan refresh andexplicit accessibility floor. [@table@body[30]/r[15]/c[1]],auto-atomized from A-000053 (table_cell); seg 1/3; tipo heuristic
CA-00072,A-000053,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Added search-query precedence rule,,,,,the partner brief). Added search-query precedence rule. Added stale-plan refresh andexplicit accessibility floor. [@table@body[30]/r[15]/c[1]],auto-atomized from A-000053 (table_cell); seg 2/3; tipo heuristic
CA-00073,A-000053,v4.1,,Document Control,Revision history,Revision history,definicion,Revision history,Added stale-plan refresh andexplicit accessibility floor.,,,,,the partner brief). Added search-query precedence rule. Added stale-plan refresh andexplicit accessibility floor. [@table@body[30]/r[15]/c[1]],auto-atomized from A-000053 (table_cell); seg 3/3; tipo heuristic
CA-00074,A-000054,v4.1,,Document Control,A note on language,A note on language,definicion,A note on language,A note on language,,,,,A note on language [@body[34]/Heading4],auto-atomized from A-000054 (heading); seg 1/1; tipo heuristic
CA-00075,A-000055,v4.1,,Document Control,A note on language,A note on language,definicion,A note on language,The Sports World website is delivered in Spanish (Mexico) to end users,,,,,"The Sports World website is delivered in Spanish (Mexico) to end users. Throughout this specification, button names and other production UI labels are kept in their Spanish form, with an English gloss in parentheses on first mention. The descriptive prose around them is in English [@body[35]]",auto-atomized from A-000055 (paragraph); seg 1/3; tipo heuristic
CA-00076,A-000055,v4.1,,Document Control,A note on language,A note on language,definicion,A note on language,"Throughout this specification, button names and other production UI labels are kept in their Spanish form, with an English gloss in parentheses on first mention",,,,,"The Sports World website is delivered in Spanish (Mexico) to end users. Throughout this specification, button names and other production UI labels are kept in their Spanish form, with an English gloss in parentheses on first mention. The descriptive prose around them is in English [@body[35]]",auto-atomized from A-000055 (paragraph); seg 2/3; tipo heuristic
CA-00077,A-000055,v4.1,,Document Control,A note on language,A note on language,definicion,A note on language,The descriptive prose around them is in English,,,,,"The Sports World website is delivered in Spanish (Mexico) to end users. Throughout this specification, button names and other production UI labels are kept in their Spanish form, with an English gloss in parentheses on first mention. The descriptive prose around them is in English [@body[35]]",auto-atomized from A-000055 (paragraph); seg 3/3; tipo heuristic
CA-00078,A-000056,v4.1,,Document Control,A note on language,A note on language,definicion,A note on language,to serve a multilingual production team,,,,,"to serve a multilingual production team. Internal system codes (such as CIUDAD-1, ( CIUDAD- [@body[36]]",auto-atomized from A-000056 (paragraph); seg 1/2; tipo heuristic
CA-00079,A-000056,v4.1,,Document Control,A note on language,A note on language,definicion,A note on language,"Internal system codes (such as CIUDAD-1, ( CIUDAD-",,,,1,"to serve a multilingual production team. Internal system codes (such as CIUDAD-1, ( CIUDAD- [@body[36]]",auto-atomized from A-000056 (paragraph); seg 2/2; tipo heuristic
CA-00080,A-000057,v4.1,,Document Control,A note on language,A note on language,definicion,A note on language,ZMVM1 P10-WL ) are kept in Spanish because they map directly to implementation identifiers and,,,,1; 10-WL,ZMVM1 P10-WL ) are kept in Spanish because they map directly to implementation identifiers and [@body[37]],auto-atomized from A-000057 (paragraph); seg 1/1; tipo heuristic
CA-00081,A-000058,v4.1,,Document Control,A note on language,A note on language,definicion,A note on language,"must remain identical in code, copy CMS, and design files.",,,,,"must remain identical in code, copy CMS, and design files. [@body[38]]",auto-atomized from A-000058 (paragraph); seg 1/1; tipo heuristic
CA-00082,A-000059,v4.1,,Part 1-Project Fundamentals,Part 1-Project Fundamentals,,cifra,Part 1-Project Fundamentals,Part 1-Project Fundamentals,,,,1-Project,Part 1-Project Fundamentals [@body[41]/Heading1],auto-atomized from A-000059 (heading); seg 1/1; tipo heuristic
CA-00083,A-000060,v4.1,,Part 1-Project Fundamentals,End-user audience,End-user audience,regla,End-user audience,End-user audience,,,,,End-user audience [@body[42]/Heading4],auto-atomized from A-000060 (heading); seg 1/1; tipo heuristic
CA-00084,A-000061,v4.1,,Part 1-Project Fundamentals,End-user audience,End-user audience,regla,End-user audience,"The site serves three primary user types, in priority order:",,,,,"The site serves three primary user types, in priority order: [@body[43]]",auto-atomized from A-000061 (paragraph); seg 1/1; tipo heuristic
CA-00085,A-000062,v4.1,,Part 1-Project Fundamentals,End-user audience,End-user audience,regla,End-user audience,"Prospective members researching a gym - intent-driven, often arriving from external search (""gimnasio Polanco"", ""bajar de peso gym"", ""yoga estudio"").",,,,,"Prospective members researching a gym - intent-driven, often arriving from external search (""gimnasio Polanco"", ""bajar de peso gym"", ""yoga estudio""). [@body[45]]",auto-atomized from A-000062 (paragraph); seg 1/1; tipo heuristic
CA-00086,A-000063,v4.1,,Part 1-Project Fundamentals,End-user audience,End-user audience,regla,End-user audience,"Existing members performing self-service tasks - checking schedules, locating amenities, asking the conversational assistant about hours, cancellations, or freezes.",,,,,"Existing members performing self-service tasks - checking schedules, locating amenities, asking the conversational assistant about hours, cancellations, or freezes. [@body[46]]",auto-atomized from A-000063 (paragraph); seg 1/1; tipo heuristic
CA-00087,A-000064,v4.1,,Part 1-Project Fundamentals,End-user audience,End-user audience,regla,End-user audience,Parents and family decision-makers researching the children's program (FitKidz) - exploratory rather than class-name-specific search behavior.,,,,,Parents and family decision-makers researching the children's program (FitKidz) - exploratory rather than class-name-specific search behavior. [@body[47]],auto-atomized from A-000064 (paragraph); seg 1/1; tipo heuristic
CA-00088,A-000065,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,regla,Business objectives,Business objectives,,,,,Business objectives [@body[49]/Heading4],auto-atomized from A-000065 (heading); seg 1/1; tipo heuristic
CA-00089,A-000066,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,regla,Business objectives,The site is rebuilt to fix three measurable problems with the previous site:,,,,,The site is rebuilt to fix three measurable problems with the previous site: [@body[50]],auto-atomized from A-000066 (paragraph); seg 1/1; tipo heuristic
CA-00090,A-000067,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,regla,Business objectives,ProblemCauseSolution in the new site,,,,,ProblemCauseSolution in the new site [@body[52]],auto-atomized from A-000067 (paragraph); seg 1/1; tipo heuristic
CA-00091,A-000068,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,cifra,Business objectives,The site appears in less than 1%No dedicated,,,,1%No,The site appears in less than 1%No dedicated [@body[56]],auto-atomized from A-000068 (paragraph); seg 1/1; tipo heuristic
CA-00092,A-000069,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,regla,Business objectives,"of ""gym for losing weight"" weight-loss page searchesexisted",,,,,"of ""gym for losing weight"" weight-loss page searchesexisted [@body[57]]",auto-atomized from A-000069 (paragraph); seg 1/1; tipo heuristic
CA-00093,A-000070,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,regla,Business objectives,"The site ranks outside the topClass pages were 100 results for ""yoga near me"" not optimized",,,,100,"The site ranks outside the topClass pages were 100 results for ""yoga near me"" not optimized [@body[59]]",auto-atomized from A-000070 (paragraph); seg 1/1; tipo heuristic
CA-00094,A-000071,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,regla,Business objectives,hub at( /bajar-de-peso/ )with YMYL-compliant content and medical sign-off,,,,,hub at( /bajar-de-peso/ )with YMYL-compliant content and medical sign-off [@body[62]],auto-atomized from A-000071 (paragraph); seg 1/1; tipo heuristic
CA-00095,A-000072,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,regla,Business objectives,One dedicated page per class (51 adult classes+ the FitKidz hub absorbing 34 children's activities) with structured markup,,,,51; 34,One dedicated page per class (51 adult classes+ the FitKidz hub absorbing 34 children's activities) with structured markup [@body[63]],auto-atomized from A-000072 (paragraph); seg 1/1; tipo heuristic
CA-00096,A-000073,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,regla,Business objectives,Dedicated Ba jarde peso,,,,,Dedicated Ba jarde  peso [@body[63]/txbx[0]/p[0]],auto-atomized from A-000073 (textbox_paragraph); seg 1/1; tipo heuristic
CA-00097,A-000074,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,regla,Business objectives,"Searches like ""gym near me"" land on the homepage instead of the closest club",,,,,"Searches like ""gym near me"" land on the homepage instead of the closest club [@body[69]]",auto-atomized from A-000074 (paragraph); seg 1/1; tipo heuristic
CA-00098,A-000075,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,regla,Business objectives,The previous site did not detect location,,,,,The previous site did not detect location [@body[70]],auto-atomized from A-000075 (paragraph); seg 1/1; tipo heuristic
CA-00099,A-000076,v4.1,,Part 1-Project Fundamentals,Business objectives,Business objectives,regla,Business objectives,The new site detects location and routes to the closest club (Rule 15),,,,15,The new site detects location and routes to the closest club (Rule 15) [@body[71]],auto-atomized from A-000076 (paragraph); seg 1/1; tipo heuristic
CA-00100,A-000077,v4.1,,Part 1-Project Fundamentals,Brand positioning,Brand positioning,regla,Brand positioning,Brand positioning,,,,,Brand positioning [@body[78]/Heading4],auto-atomized from A-000077 (heading); seg 1/1; tipo heuristic
