unit_id,tipo,pagina,encabezado,subencabezado,clausula,ubicacion_dentro_de_clausula,texto_normalizado,texto_original
A-000058,paragraph,,Document Control,A note on language,A note on language,body[38],"must remain identical in code, copy CMS, and design files.","must remain identical in code, copy CMS, and design files."
A-000059,heading,,Part 1-Project Fundamentals,,Part 1-Project Fundamentals,body[41]/Heading1,Part 1-Project Fundamentals,Part 1-Project Fundamentals
A-000060,heading,,Part 1-Project Fundamentals,End-user audience,End-user audience,body[42]/Heading4,End-user audience,End-user audience
A-000061,paragraph,,Part 1-Project Fundamentals,End-user audience,End-user audience,body[43],"The site serves three primary user types, in priority order:","The site serves three primary user types, in priority order:"
A-000062,paragraph,,Part 1-Project Fundamentals,End-user audience,End-user audience,body[45],"Prospective members researching a gym - intent-driven, often arriving from external search (""gimnasio Polanco"", ""bajar de peso gym"", ""yoga estudio"").","Prospective members researching a gym - intent-driven, often arriving from external search (""gimnasio Polanco"", ""bajar de peso gym"", ""yoga estudio"")."
A-000063,paragraph,,Part 1-Project Fundamentals,End-user audience,End-user audience,body[46],"Existing members performing self-service tasks - checking schedules, locating amenities, asking the conversational assistant about hours, cancellations, or freezes.","Existing members performing self-service tasks - checking schedules, locating amenities, asking the conversational assistant about hours, cancellations, or freezes."
A-000064,paragraph,,Part 1-Project Fundamentals,End-user audience,End-user audience,body[47],Parents and family decision-makers researching the children's program (FitKidz) - exploratory rather than class-name-specific search behavior.,Parents and family decision-makers researching the children's program (FitKidz) - exploratory rather than class-name-specific search behavior.
A-000065,heading,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[49]/Heading4,Business objectives,Business objectives
A-000066,paragraph,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[50],The site is rebuilt to fix three measurable problems with the previous site:,The site is rebuilt to fix three measurable problems with the previous site:
A-000067,paragraph,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[52],ProblemCauseSolution in the new site,ProblemCauseSolution in the new site
A-000068,paragraph,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[56],The site appears in less than 1%No dedicated,The site appears in less than 1%No dedicated
A-000069,paragraph,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[57],"of ""gym for losing weight"" weight-loss page searchesexisted","of ""gym for losing weight"" weight-loss page searchesexisted"
A-000070,paragraph,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[59],"The site ranks outside the topClass pages were 100 results for ""yoga near me"" not optimized","The site ranks outside the topClass pages were 100 results for ""yoga near me"" not optimized"
A-000071,paragraph,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[62],hub at( /bajar-de-peso/ )with YMYL-compliant content and medical sign-off,hub at( /bajar-de-peso/ )with YMYL-compliant content and medical sign-off
A-000072,paragraph,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[63],One dedicated page per class (51 adult classes+ the FitKidz hub absorbing 34 children's activities) with structured markup,One dedicated page per class (51 adult classes+ the FitKidz hub absorbing 34 children's activities) with structured markup
A-000073,textbox_paragraph,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[63]/txbx[0]/p[0],Dedicated Ba jarde peso,Dedicated Ba jarde  peso
A-000074,paragraph,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[69],"Searches like ""gym near me"" land on the homepage instead of the closest club","Searches like ""gym near me"" land on the homepage instead of the closest club"
A-000075,paragraph,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[70],The previous site did not detect location,The previous site did not detect location
A-000076,paragraph,,Part 1-Project Fundamentals,Business objectives,Business objectives,body[71],The new site detects location and routes to the closest club (Rule 15),The new site detects location and routes to the closest club (Rule 15)
A-000077,heading,,Part 1-Project Fundamentals,Brand positioning,Brand positioning,body[78]/Heading4,Brand positioning,Brand positioning
A-000078,paragraph,,Part 1-Project Fundamentals,Brand positioning,Brand positioning,body[79],The site's brand is Three implications:,The site's brand is Three implications:
A-000079,textbox_paragraph,,Part 1-Project Fundamentals,Brand positioning,Brand positioning,body[79]/txbx[0]/p[0],Premium fitness,Premium fitness
A-000080,paragraph,,Part 1-Project Fundamentals,Brand positioning,Brand positioning,body[81],. The FitKidz sub-brand is.,. The FitKidz sub-brand is.
A-000081,textbox_paragraph,,Part 1-Project Fundamentals,Brand positioning,Brand positioning,body[81]/txbx[0]/p[0],Premium family fitness,Premium family fitness
A-000082,paragraph,,Part 1-Project Fundamentals,Brand positioning,Brand positioning,body[83],"Considered typography, generous spacing, editorial photography.","Considered typography, generous spacing, editorial photography."
A-000083,paragraph,,Part 1-Project Fundamentals,Brand positioning,Brand positioning,body[84],"Direct, measured language. No forced enthusiasm, no exclamation marks, no all-caps marketing copy, no question-bait headlines.","Direct, measured language. No forced enthusiasm, no exclamation marks, no all-caps marketing copy, no question-bait headlines."
A-000084,paragraph,,Part 1-Project Fundamentals,Brand positioning,Brand positioning,body[85],"Family framing applies only on FitKidz pages. Everywhere else the framing is individual or personalized. The rest of the site speaks to one user at a time, not to ""the family"".","Family framing applies only on FitKidz pages. Everywhere else the framing is individual or personalized. The rest of the site speaks to one user at a time, not to ""the family""."
A-000085,heading,,Part 1-Project Fundamentals,Success measures,Success measures,body[87]/Heading4,Success measures,Success measures
A-000086,paragraph,,Part 1-Project Fundamentals,Success measures,Success measures,body[90],Measure,Measure
A-000087,paragraph,,Part 1-Project Fundamentals,Success measures,Success measures,body[92],"Organic traffic visibility on ""bajar de peso"" cluster","Organic traffic visibility on ""bajar de peso"" cluster"
A-000088,paragraph,,Part 1-Project Fundamentals,Success measures,Success measures,body[93],Target,Target
A-000089,paragraph,,Part 1-Project Fundamentals,Success measures,Success measures,body[95],Top 10 in target queries within 90 days oflaunch,Top 10 in target queries within 90 days oflaunch
A-000090,paragraph,,Part 1-Project Fundamentals,Success measures,Success measures,body[100],MeasureTarget,MeasureTarget
A-000091,paragraph,,Part 1-Project Fundamentals,Success measures,Success measures,body[102],"""Gym near me"" ➔ closest club routing accuracy100% of geolocated sessions routed to the closest open club","""Gym near me"" ➔ closest club routing accuracy100% of geolocated sessions routed to the closest open club"
A-000092,paragraph,,Part 1-Project Fundamentals,Success measures,Success measures,body[104],Class-page organic visibilityTop 50 for the 51 adult classes within 90 days,Class-page organic visibilityTop 50 for the 51 adult classes within 90 days
A-000093,paragraph,,Part 1-Project Fundamentals,Success measures,Success measures,body[106],"Core Web Vitals on mobile p75LCP < 2.5 s, INP < 200 ms, CLS < 0.1","Core Web Vitals on mobile p75LCP < 2.5 s, INP < 200 ms, CLS < 0.1"
A-000094,paragraph,,Part 1-Project Fundamentals,Success measures,Success measures,body[108],AccessibilityWCAG 2.2 AA on every page,AccessibilityWCAG 2.2 AA on every page
A-000095,heading,,Part 2 -Conventions,,Part 2 -Conventions,body[112]/Heading2,Part 2 -Conventions,Part 2 -Conventions
A-000096,heading,,Part 2 -Conventions,Methodology: mobile-first,Methodology: mobile-first,body[113]/Heading4,Methodology: mobile-first,Methodology: mobile-first
A-000097,paragraph,,Part 2 -Conventions,Methodology: mobile-first,Methodology: mobile-first,body[114],"The site is designed and engineered mobile-first as a methodology, not as a responsive afterthought. Every layout, interaction, and rule in this specification is to be implemented starting from the mobile viewport (375 px) and progressively enhanced upward to tablet (768 px) and desktop (1280 px and above). The opposite - designing desktop and ""making it responsive"" later- is non-conformant.","The site is designed and engineered mobile-first as a methodology, not as a responsive afterthought. Every layout, interaction, and rule in this specification is to be implemented starting from the mobile viewport (375 px) and progressively enhanced upward to tablet (768 px) and desktop (1280 px and above). The opposite - designing desktop and ""making it responsive"" later- is non-conformant."
A-000098,paragraph,,Part 2 -Conventions,Methodology: mobile-first,Methodology: mobile-first,body[115],Where this specification describes a desktop-only behavior (such asinteractions in Rule,Where this specification describes a desktop-only behavior (such asinteractions in Rule
A-000099,textbox_paragraph,,Part 2 -Conventions,Methodology: mobile-first,Methodology: mobile-first,body[115]/txbx[0]/p[0],hover,hover
A-000100,paragraph,,Part 2 -Conventions,Methodology: mobile-first,Methodology: mobile-first,body[116],"5), the rule is explicit about its viewport scope. The mobile equivalent is always specified.","5), the rule is explicit about its viewport scope. The mobile equivalent is always specified."
A-000101,heading,,Part 2 -Conventions,Code conventions,Code conventions,body[118]/Heading4,Code conventions,Code conventions
A-000102,paragraph,,Part 2 -Conventions,Code conventions,Code conventions,body[119],"The specification uses several immutable identifier systems. Once assigned, a code never changes meaning and is never reused for a different element. If an element is removed from the site, its code is retired permanently and not reassigned.","The specification uses several immutable identifier systems. Once assigned, a code never changes meaning and is never reused for a different element. If an element is removed from the site, its code is retired permanently and not reassigned."
A-000103,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[0]/c[0],Code system,Code system
A-000104,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[0]/c[1],Format,Format
A-000105,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[0]/c[2],Examples,Examples
A-000106,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[0]/c[3],Meaning,Meaning
A-000107,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[1]/c[0],Pagetype,Pagetype
A-000108,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[1]/c[1],"numeric, 1-11","numeric, 1-11"
A-000109,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[1]/c[2],Page type 2 = Individual,Page type 2 = Individual
A-000110,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[1]/c[3],Eleven canonical page types in,Eleven canonical page types in
A-000111,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[2]/c[2],club,club
A-000112,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[2]/c[3],the 145-page scope. BES is a,the 145-page scope. BES is a
A-000113,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[3]/c[3],global widget (Rule 3).,global widget (Rule 3).
A-000114,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[4]/c[0],Question,Question
A-000115,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[4]/c[1],0+number;(-wL) suffix for weight-loss,0+number;(-wL) suffix for weight-loss
A-000116,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[4]/c[2],"P1, P2, P9, P10-WL, P11-WL,P12-WL","P1, P2, P9, P10-WL, P11-WL,P12-WL"
A-000117,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[4]/c[3],Questionnaire questions.,Questionnaire questions.
A-000118,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[5]/c[1],variant,variant
A-000119,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[7]/c[0],City,City
A-000120,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[7]/c[1],CIUDAD- +tag,CIUDAD- +tag
A-000121,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[7]/c[2],"CIUDAD-1 ,(CIUDAD-","CIUDAD-1 ,(CIUDAD-"
A-000122,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[7]/c[3],Number of clubs in the user's,Number of clubs in the user's
A-000123,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[8]/c[0],classification,classification
A-000124,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[8]/c[2],POCOS1 CIUDAD-ZMVM,POCOS1 CIUDAD-ZMVM
A-000125,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[8]/c[3],city.,city.
A-000126,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[10]/c[0],Rule,Rule
A-000127,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[10]/c[1],Rule + number,Rule + number
A-000128,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[10]/c[2],"Rule 7, Rule 25","Rule 7, Rule 25"
A-000129,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[10]/c[3],Global rules in Part 4.,Global rules in Part 4.
A-000130,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[11]/c[0],Article tag,Article tag
A-000131,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[11]/c[1],"lowercase,","lowercase,"
A-000132,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[11]/c[2],"bajar-de-peso,","bajar-de-peso,"
A-000133,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[11]/c[3],Content tags for the Journal,Content tags for the Journal
A-000134,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[12]/c[1],hyphenated,hyphenated
A-000135,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[12]/c[2],"clase-spinning,","clase-spinning,"
A-000136,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[12]/c[3],cross-linking system (Rule 29).,cross-linking system (Rule 29).
A-000137,table_cell,,Part 2 -Conventions,Code conventions,Code conventions,table@body[121]/r[13]/c[2],amenidad-alberca,amenidad-alberca
A-000138,heading,,Part 2 -Conventions,Language conventions,Language conventions,body[124]/Heading4,Language conventions,Language conventions
A-000139,paragraph,,Part 2 -Conventions,Language conventions,Language conventions,body[125],End-user UI strings: Spanish (Mexico). Imperative second-person familiar for CTAs,End-user UI strings: Spanish (Mexico). Imperative second-person familiar for CTAs
A-000140,paragraph,,Part 2 -Conventions,Language conventions,Language conventions,body[126],"( Visi ta un club , not Visi te un club ). Mexican Spanish vocabulary ( checar , platicar , Aqui empieza todo - not the peninsular Aqui comienza todo ). No English calques.","( Visi ta un club , not Visi te un club ). Mexican Spanish vocabulary ( checar , platicar , Aqui empieza todo - not the peninsular Aqui comienza todo ). No English calques."
A-000141,paragraph,,Part 2 -Conventions,Language conventions,Language conventions,body[127],"Specification prose: English, for the production team.","Specification prose: English, for the production team."
A-000142,paragraph,,Part 2 -Conventions,Language conventions,Language conventions,body[128],"Internal system codes: Spanish, never translated.","Internal system codes: Spanish, never translated."
A-000143,heading,,Part 2 -Conventions,How to read the per-page matrices,How to read the per-page matrices,body[130]/Heading4,How to read the per-page matrices,How to read the per-page matrices
A-000144,paragraph,,Part 2 -Conventions,How to read the per-page matrices,How to read the per-page matrices,body[131],Each per-page matrix in Part 5 has three columns:,Each per-page matrix in Part 5 has three columns:
A-000145,paragraph,,Part 2 -Conventions,How to read the per-page matrices,How to read the per-page matrices,body[132],"State - combination of two factors: (a) whether the user has completed the questionnaire, and (b) whether the user has a club identified.","State - combination of two factors: (a) whether the user has completed the questionnaire, and (b) whether the user has a club identified."
A-000146,paragraph,,Part 2 -Conventions,How to read the per-page matrices,How to read the per-page matrices,body[133],"Questionnaire - the number of questions presented after pre-filling. If a question is omitted entirely (the special Individual Club case for PS and P9), it does not count. If a question is pre-filled but editable, it still counts as a visible question.","Questionnaire - the number of questions presented after pre-filling. If a question is omitted entirely (the special Individual Club case for PS and P9), it does not count. If a question is pre-filled but editable, it still counts as a visible question."
A-000147,paragraph,,Part 2 -Conventions,How to read the per-page matrices,How to read the per-page matrices,body[134],Contextual menu - the buttons that appear in the page's body content for that state. The header buttons (always visible per Rules 1-2) and the BES widget (always visible per Rule 3) are not repeated in each matrix.,Contextual menu - the buttons that appear in the page's body content for that state. The header buttons (always visible per Rules 1-2) and the BES widget (always visible per Rule 3) are not repeated in each matrix.
A-000148,paragraph,,Part 2 -Conventions,How to read the per-page matrices,How to read the per-page matrices,body[136],The contextual buttonappears in matrices only on pages,The contextual buttonappears in matrices only on pages
A-000149,textbox_paragraph,,Part 2 -Conventions,How to read the per-page matrices,How to read the per-page matrices,body[136]/txbx[0]/p[0],Articulos o informaci6n util,Articulos o informaci6n util
A-000150,paragraph,,Part 2 -Conventions,How to read the per-page matrices,How to read the per-page matrices,body[137],"where tagged articles are reasonably expected to exist (thehub, goal hubs,","where tagged articles are reasonably expected to exist (thehub, goal hubs,"
A-000151,textbox_paragraph,,Part 2 -Conventions,How to read the per-page matrices,How to read the per-page matrices,body[137]/txbx[0]/p[0],Ba jarde peso,Ba jarde peso
A-000152,paragraph,,Part 2 -Conventions,How to read the per-page matrices,How to read the per-page matrices,body[138],"Personal Training). On other pages the button still appears dynamically when matching articles are tagged, but it is not documented in the matrix because it is variable.","Personal Training). On other pages the button still appears dynamically when matching articles are tagged, but it is not documented in the matrix because it is variable."
A-000153,heading,,Part 2 -Conventions,Scope boundary - what this specification does NOT cover,Scope boundary - what this specification does NOT cover,body[139]/Heading4,Scope boundary - what this specification does NOT cover,Scope boundary -  what this specification does NOT cover
A-000154,paragraph,,Part 2 -Conventions,Scope boundary - what this specification does NOT cover,Scope boundary - what this specification does NOT cover,body[140],The following subjects are intentionally out of scope of this specification.They are governed by other partner-facing documents.,The following subjects are intentionally out of scope of this specification.They are governed by other partner-facing documents.
A-000155,paragraph,,Part 2 -Conventions,Scope boundary - what this specification does NOT cover,Scope boundary - what this specification does NOT cover,body[141],"Visual production rules (which photographs to use, AI-generated image guidelines, video shot lists, employee imagery policies, asset volume targets) - these live in the partner brief, Section 6.","Visual production rules (which photographs to use, AI-generated image guidelines, video shot lists, employee imagery policies, asset volume targets) - these live in the partner brief, Section 6."
A-000156,paragraph,,Part 2 -Conventions,Scope boundary - what this specification does NOT cover,Scope boundary - what this specification does NOT cover,body[142],"Technical stack choices (framework, CMS, hosting, observability, performance tooling) - these live in the partner brief, Section 5.","Technical stack choices (framework, CMS, hosting, observability, performance tooling) - these live in the partner brief, Section 5."
A-000157,paragraph,,Part 2 -Conventions,Scope boundary - what this specification does NOT cover,Scope boundary - what this specification does NOT cover,body[143],"Brand asset creative direction (typography selection, color palette, logo, mood references)","Brand asset creative direction (typography selection, color palette, logo, mood references)"
A-000158,paragraph,,Part 2 -Conventions,Scope boundary - what this specification does NOT cover,Scope boundary - what this specification does NOT cover,body[144],- these live in the brand asset pack delivered to the partner in Week 1.,-  these live in the brand asset pack delivered to the partner in Week 1.
A-000159,paragraph,,Part 2 -Conventions,Scope boundary - what this specification does NOT cover,Scope boundary - what this specification does NOT cover,body[145],"Project process (approval gates, deliverable schedule, vendor capabilities, commercial terms) -these live in the partner brief.","Project process (approval gates, deliverable schedule, vendor capabilities, commercial terms) -these live in the partner brief."
