claim_id,unit_id,documento,pagina,seccion,tema,subtema,tipo_de_afirmacion,sujeto,afirmacion_normalizada,condiciones,excepciones,periodo,cifra_o_unidad,cita_textual,observaciones,taxonomia_nodo
CB-00016,B-000004,spec,,Spec §3.1 Base 16 questions,Q4,Q4 Goal,requisito,Q4,Q4 question copy: ¿Qué buscas?,,,,4,"Q4 (Goal) — Question: ¿Qué buscas? | Type: multi, max 2, required | Options/Field: Bajar de peso · Mejorar mi estética corporal · Ganar fuerza · Mejorar condición y aguante · Recuperarme de una lesión o dolor [@prompt §3.1]",spec question copy,T10
CB-00017,B-000004,spec,,Spec §3.1 Base 16 questions,Q4,Q4 Goal,regla,Q4,"Q4 type: multi, max 2, required",,,,4; 2,"Q4 (Goal) — Question: ¿Qué buscas? | Type: multi, max 2, required | Options/Field: Bajar de peso · Mejorar mi estética corporal · Ganar fuerza · Mejorar condición y aguante · Recuperarme de una lesión o dolor [@prompt §3.1]",spec field type/validation,T10
CB-00018,B-000004,spec,,Spec §3.1 Base 16 questions,Q4,Q4 Goal,definicion,Q4,Q4 option: Bajar de peso,,,,4,"Q4 (Goal) — Question: ¿Qué buscas? | Type: multi, max 2, required | Options/Field: Bajar de peso · Mejorar mi estética corporal · Ganar fuerza · Mejorar condición y aguante · Recuperarme de una lesión o dolor [@prompt §3.1]",spec option (split),T10
CB-00019,B-000004,spec,,Spec §3.1 Base 16 questions,Q4,Q4 Goal,definicion,Q4,Q4 option: Mejorar mi estética corporal,,,,4,"Q4 (Goal) — Question: ¿Qué buscas? | Type: multi, max 2, required | Options/Field: Bajar de peso · Mejorar mi estética corporal · Ganar fuerza · Mejorar condición y aguante · Recuperarme de una lesión o dolor [@prompt §3.1]",spec option (split),T10
CB-00020,B-000004,spec,,Spec §3.1 Base 16 questions,Q4,Q4 Goal,definicion,Q4,Q4 option: Ganar fuerza,,,,4,"Q4 (Goal) — Question: ¿Qué buscas? | Type: multi, max 2, required | Options/Field: Bajar de peso · Mejorar mi estética corporal · Ganar fuerza · Mejorar condición y aguante · Recuperarme de una lesión o dolor [@prompt §3.1]",spec option (split),T10
CB-00021,B-000004,spec,,Spec §3.1 Base 16 questions,Q4,Q4 Goal,definicion,Q4,Q4 option: Mejorar condición y aguante,,,,4,"Q4 (Goal) — Question: ¿Qué buscas? | Type: multi, max 2, required | Options/Field: Bajar de peso · Mejorar mi estética corporal · Ganar fuerza · Mejorar condición y aguante · Recuperarme de una lesión o dolor [@prompt §3.1]",spec option (split),T10
CB-00022,B-000004,spec,,Spec §3.1 Base 16 questions,Q4,Q4 Goal,definicion,Q4,Q4 option: Recuperarme de una lesión o dolor,,,,4,"Q4 (Goal) — Question: ¿Qué buscas? | Type: multi, max 2, required | Options/Field: Bajar de peso · Mejorar mi estética corporal · Ganar fuerza · Mejorar condición y aguante · Recuperarme de una lesión o dolor [@prompt §3.1]",spec option (split),T10
CB-00023,B-000005,spec,,Spec §3.1 Base 16 questions,Q5,Q5 Pace,requisito,Q5,Q5 question copy: ¿Qué ritmo va contigo?,,,,5,"Q5 (Pace) — Question: ¿Qué ritmo va contigo? | Type: single, required | Options/Field: Intenso, que me rete · Moderado y constante · Suave/controlado [@prompt §3.1]",spec question copy,T10
CB-00024,B-000005,spec,,Spec §3.1 Base 16 questions,Q5,Q5 Pace,regla,Q5,"Q5 type: single, required",,,,5,"Q5 (Pace) — Question: ¿Qué ritmo va contigo? | Type: single, required | Options/Field: Intenso, que me rete · Moderado y constante · Suave/controlado [@prompt §3.1]",spec field type/validation,T10
CB-00025,B-000005,spec,,Spec §3.1 Base 16 questions,Q5,Q5 Pace,definicion,Q5,"Q5 option: Intenso, que me rete",,,,5,"Q5 (Pace) — Question: ¿Qué ritmo va contigo? | Type: single, required | Options/Field: Intenso, que me rete · Moderado y constante · Suave/controlado [@prompt §3.1]",spec option (split),T10
CB-00026,B-000005,spec,,Spec §3.1 Base 16 questions,Q5,Q5 Pace,definicion,Q5,Q5 option: Moderado y constante,,,,5,"Q5 (Pace) — Question: ¿Qué ritmo va contigo? | Type: single, required | Options/Field: Intenso, que me rete · Moderado y constante · Suave/controlado [@prompt §3.1]",spec option (split),T10
CB-00027,B-000005,spec,,Spec §3.1 Base 16 questions,Q5,Q5 Pace,definicion,Q5,Q5 option: Suave/controlado,,,,5,"Q5 (Pace) — Question: ¿Qué ritmo va contigo? | Type: single, required | Options/Field: Intenso, que me rete · Moderado y constante · Suave/controlado [@prompt §3.1]",spec option (split),T10
CB-00028,B-000006,spec,,Spec §3.1 Base 16 questions,Q6,Q6 Setting,requisito,Q6,Q6 question copy: ¿Dónde prefieres entrenar?,,,,6,"Q6 (Setting) — Question: ¿Dónde prefieres entrenar? | Type: single, required | Options/Field: En piso / área seca · En la alberca · Ambas · Lo que mi entrenador recomiende [@prompt §3.1]",spec question copy,T10
CB-00029,B-000006,spec,,Spec §3.1 Base 16 questions,Q6,Q6 Setting,regla,Q6,"Q6 type: single, required",,,,6,"Q6 (Setting) — Question: ¿Dónde prefieres entrenar? | Type: single, required | Options/Field: En piso / área seca · En la alberca · Ambas · Lo que mi entrenador recomiende [@prompt §3.1]",spec field type/validation,T10
CB-00030,B-000006,spec,,Spec §3.1 Base 16 questions,Q6,Q6 Setting,definicion,Q6,Q6 option: En piso / área seca,,,,6,"Q6 (Setting) — Question: ¿Dónde prefieres entrenar? | Type: single, required | Options/Field: En piso / área seca · En la alberca · Ambas · Lo que mi entrenador recomiende [@prompt §3.1]",spec option (split),T10
CB-00031,B-000006,spec,,Spec §3.1 Base 16 questions,Q6,Q6 Setting,definicion,Q6,Q6 option: En la alberca,,,,6,"Q6 (Setting) — Question: ¿Dónde prefieres entrenar? | Type: single, required | Options/Field: En piso / área seca · En la alberca · Ambas · Lo que mi entrenador recomiende [@prompt §3.1]",spec option (split),T10
CB-00032,B-000006,spec,,Spec §3.1 Base 16 questions,Q6,Q6 Setting,definicion,Q6,Q6 option: Ambas,,,,6,"Q6 (Setting) — Question: ¿Dónde prefieres entrenar? | Type: single, required | Options/Field: En piso / área seca · En la alberca · Ambas · Lo que mi entrenador recomiende [@prompt §3.1]",spec option (split),T10
CB-00033,B-000006,spec,,Spec §3.1 Base 16 questions,Q6,Q6 Setting,definicion,Q6,Q6 option: Lo que mi entrenador recomiende,,,,6,"Q6 (Setting) — Question: ¿Dónde prefieres entrenar? | Type: single, required | Options/Field: En piso / área seca · En la alberca · Ambas · Lo que mi entrenador recomiende [@prompt §3.1]",spec option (split),T10
CB-00034,B-000007,spec,,Spec §3.1 Base 16 questions,Q7,Q7 Time,requisito,Q7,Q7 question copy: ¿En qué horario prefieres entrenar?,,,,7,"Q7 (Time) — Question: ¿En qué horario prefieres entrenar? | Type: multi, required | Options/Field: Temprano (5:00–8:00) · Media mañana (8:00–11:00) · Mediodía (11:00–14:00) · Primera tarde (14:00–17:00) · Tarde (17:00–20:00) · Noche (20:00–22:00) [@prompt §3.1]",spec question copy,T10
CB-00035,B-000007,spec,,Spec §3.1 Base 16 questions,Q7,Q7 Time,regla,Q7,"Q7 type: multi, required",,,,7,"Q7 (Time) — Question: ¿En qué horario prefieres entrenar? | Type: multi, required | Options/Field: Temprano (5:00–8:00) · Media mañana (8:00–11:00) · Mediodía (11:00–14:00) · Primera tarde (14:00–17:00) · Tarde (17:00–20:00) · Noche (20:00–22:00) [@prompt §3.1]",spec field type/validation,T10
CB-00036,B-000007,spec,,Spec §3.1 Base 16 questions,Q7,Q7 Time,definicion,Q7,Q7 option: Temprano (5:00–8:00),,,,7; 5:00–8:00,"Q7 (Time) — Question: ¿En qué horario prefieres entrenar? | Type: multi, required | Options/Field: Temprano (5:00–8:00) · Media mañana (8:00–11:00) · Mediodía (11:00–14:00) · Primera tarde (14:00–17:00) · Tarde (17:00–20:00) · Noche (20:00–22:00) [@prompt §3.1]",spec option (split),T10
CB-00037,B-000007,spec,,Spec §3.1 Base 16 questions,Q7,Q7 Time,definicion,Q7,Q7 option: Media mañana (8:00–11:00),,,,7; 8:00–11:00,"Q7 (Time) — Question: ¿En qué horario prefieres entrenar? | Type: multi, required | Options/Field: Temprano (5:00–8:00) · Media mañana (8:00–11:00) · Mediodía (11:00–14:00) · Primera tarde (14:00–17:00) · Tarde (17:00–20:00) · Noche (20:00–22:00) [@prompt §3.1]",spec option (split),T10
CB-00038,B-000007,spec,,Spec §3.1 Base 16 questions,Q7,Q7 Time,definicion,Q7,Q7 option: Mediodía (11:00–14:00),,,,7; 11:00–14:00,"Q7 (Time) — Question: ¿En qué horario prefieres entrenar? | Type: multi, required | Options/Field: Temprano (5:00–8:00) · Media mañana (8:00–11:00) · Mediodía (11:00–14:00) · Primera tarde (14:00–17:00) · Tarde (17:00–20:00) · Noche (20:00–22:00) [@prompt §3.1]",spec option (split),T10
CB-00039,B-000007,spec,,Spec §3.1 Base 16 questions,Q7,Q7 Time,definicion,Q7,Q7 option: Primera tarde (14:00–17:00),,,,7; 14:00–17:00,"Q7 (Time) — Question: ¿En qué horario prefieres entrenar? | Type: multi, required | Options/Field: Temprano (5:00–8:00) · Media mañana (8:00–11:00) · Mediodía (11:00–14:00) · Primera tarde (14:00–17:00) · Tarde (17:00–20:00) · Noche (20:00–22:00) [@prompt §3.1]",spec option (split),T10
CB-00040,B-000007,spec,,Spec §3.1 Base 16 questions,Q7,Q7 Time,definicion,Q7,Q7 option: Tarde (17:00–20:00),,,,7; 17:00–20:00,"Q7 (Time) — Question: ¿En qué horario prefieres entrenar? | Type: multi, required | Options/Field: Temprano (5:00–8:00) · Media mañana (8:00–11:00) · Mediodía (11:00–14:00) · Primera tarde (14:00–17:00) · Tarde (17:00–20:00) · Noche (20:00–22:00) [@prompt §3.1]",spec option (split),T10
CB-00041,B-000007,spec,,Spec §3.1 Base 16 questions,Q7,Q7 Time,definicion,Q7,Q7 option: Noche (20:00–22:00),,,,7; 20:00–22:00,"Q7 (Time) — Question: ¿En qué horario prefieres entrenar? | Type: multi, required | Options/Field: Temprano (5:00–8:00) · Media mañana (8:00–11:00) · Mediodía (11:00–14:00) · Primera tarde (14:00–17:00) · Tarde (17:00–20:00) · Noche (20:00–22:00) [@prompt §3.1]",spec option (split),T10
CB-00042,B-000008,spec,,Spec §3.1 Base 16 questions,Q8,Q8 Days,requisito,Q8,Q8 question copy: ¿Qué días prefieres entrenar?,,,,8,"Q8 (Days) — Question: ¿Qué días prefieres entrenar? | Type: multi, required | Options/Field: L · M · X · J · V · S · D [@prompt §3.1]",spec question copy,T10
CB-00043,B-000008,spec,,Spec §3.1 Base 16 questions,Q8,Q8 Days,regla,Q8,"Q8 type: multi, required",,,,8,"Q8 (Days) — Question: ¿Qué días prefieres entrenar? | Type: multi, required | Options/Field: L · M · X · J · V · S · D [@prompt §3.1]",spec field type/validation,T10
CB-00044,B-000008,spec,,Spec §3.1 Base 16 questions,Q8,Q8 Days,definicion,Q8,Q8 option: L,,,,8,"Q8 (Days) — Question: ¿Qué días prefieres entrenar? | Type: multi, required | Options/Field: L · M · X · J · V · S · D [@prompt §3.1]",spec option (split),T10
CB-00045,B-000008,spec,,Spec §3.1 Base 16 questions,Q8,Q8 Days,definicion,Q8,Q8 option: M,,,,8,"Q8 (Days) — Question: ¿Qué días prefieres entrenar? | Type: multi, required | Options/Field: L · M · X · J · V · S · D [@prompt §3.1]",spec option (split),T10
CB-00046,B-000008,spec,,Spec §3.1 Base 16 questions,Q8,Q8 Days,definicion,Q8,Q8 option: X,,,,8,"Q8 (Days) — Question: ¿Qué días prefieres entrenar? | Type: multi, required | Options/Field: L · M · X · J · V · S · D [@prompt §3.1]",spec option (split),T10
CB-00047,B-000008,spec,,Spec §3.1 Base 16 questions,Q8,Q8 Days,definicion,Q8,Q8 option: J,,,,8,"Q8 (Days) — Question: ¿Qué días prefieres entrenar? | Type: multi, required | Options/Field: L · M · X · J · V · S · D [@prompt §3.1]",spec option (split),T10
CB-00048,B-000008,spec,,Spec §3.1 Base 16 questions,Q8,Q8 Days,definicion,Q8,Q8 option: V,,,,8,"Q8 (Days) — Question: ¿Qué días prefieres entrenar? | Type: multi, required | Options/Field: L · M · X · J · V · S · D [@prompt §3.1]",spec option (split),T10
CB-00049,B-000008,spec,,Spec §3.1 Base 16 questions,Q8,Q8 Days,definicion,Q8,Q8 option: S,,,,8,"Q8 (Days) — Question: ¿Qué días prefieres entrenar? | Type: multi, required | Options/Field: L · M · X · J · V · S · D [@prompt §3.1]",spec option (split),T10
CB-00050,B-000008,spec,,Spec §3.1 Base 16 questions,Q8,Q8 Days,definicion,Q8,Q8 option: D,,,,8,"Q8 (Days) — Question: ¿Qué días prefieres entrenar? | Type: multi, required | Options/Field: L · M · X · J · V · S · D [@prompt §3.1]",spec option (split),T10
CB-00051,B-000009,spec,,Spec §3.1 Base 16 questions,Q9,Q9 Level,requisito,Q9,Q9 question copy: ¿Cuál es tu nivel de entrenamiento?,,,,9,"Q9 (Level) — Question: ¿Cuál es tu nivel de entrenamiento? | Type: single, required | Options/Field: Principiante · Intermedio · Avanzado [@prompt §3.1]",spec question copy,T10
CB-00052,B-000009,spec,,Spec §3.1 Base 16 questions,Q9,Q9 Level,regla,Q9,"Q9 type: single, required",,,,9,"Q9 (Level) — Question: ¿Cuál es tu nivel de entrenamiento? | Type: single, required | Options/Field: Principiante · Intermedio · Avanzado [@prompt §3.1]",spec field type/validation,T10
CB-00053,B-000009,spec,,Spec §3.1 Base 16 questions,Q9,Q9 Level,definicion,Q9,Q9 option: Principiante,,,,9,"Q9 (Level) — Question: ¿Cuál es tu nivel de entrenamiento? | Type: single, required | Options/Field: Principiante · Intermedio · Avanzado [@prompt §3.1]",spec option (split),T10
CB-00054,B-000009,spec,,Spec §3.1 Base 16 questions,Q9,Q9 Level,definicion,Q9,Q9 option: Intermedio,,,,9,"Q9 (Level) — Question: ¿Cuál es tu nivel de entrenamiento? | Type: single, required | Options/Field: Principiante · Intermedio · Avanzado [@prompt §3.1]",spec option (split),T10
CB-00055,B-000009,spec,,Spec §3.1 Base 16 questions,Q9,Q9 Level,definicion,Q9,Q9 option: Avanzado,,,,9,"Q9 (Level) — Question: ¿Cuál es tu nivel de entrenamiento? | Type: single, required | Options/Field: Principiante · Intermedio · Avanzado [@prompt §3.1]",spec option (split),T10
CB-00056,B-000010,spec,,Spec §3.1 Base 16 questions,Q10,Q10 History,requisito,Q10,Q10 question copy: ¿Vienes de otro gimnasio?,,,,10,"Q10 (History) — Question: ¿Vienes de otro gimnasio? | Type: single, required | Options/Field: Sí, vengo de otro gimnasio · Nunca he ido a un gimnasio · Regreso después de una pausa [@prompt §3.1]",spec question copy,T10
CB-00057,B-000010,spec,,Spec §3.1 Base 16 questions,Q10,Q10 History,regla,Q10,"Q10 type: single, required",,,,10,"Q10 (History) — Question: ¿Vienes de otro gimnasio? | Type: single, required | Options/Field: Sí, vengo de otro gimnasio · Nunca he ido a un gimnasio · Regreso después de una pausa [@prompt §3.1]",spec field type/validation,T10
CB-00058,B-000010,spec,,Spec §3.1 Base 16 questions,Q10,Q10 History,definicion,Q10,"Q10 option: Sí, vengo de otro gimnasio",,,,10,"Q10 (History) — Question: ¿Vienes de otro gimnasio? | Type: single, required | Options/Field: Sí, vengo de otro gimnasio · Nunca he ido a un gimnasio · Regreso después de una pausa [@prompt §3.1]",spec option (split),T10
CB-00059,B-000010,spec,,Spec §3.1 Base 16 questions,Q10,Q10 History,definicion,Q10,Q10 option: Nunca he ido a un gimnasio,,,,10,"Q10 (History) — Question: ¿Vienes de otro gimnasio? | Type: single, required | Options/Field: Sí, vengo de otro gimnasio · Nunca he ido a un gimnasio · Regreso después de una pausa [@prompt §3.1]",spec option (split),T10
CB-00060,B-000010,spec,,Spec §3.1 Base 16 questions,Q10,Q10 History,definicion,Q10,Q10 option: Regreso después de una pausa,,,,10,"Q10 (History) — Question: ¿Vienes de otro gimnasio? | Type: single, required | Options/Field: Sí, vengo de otro gimnasio · Nunca he ido a un gimnasio · Regreso después de una pausa [@prompt §3.1]",spec option (split),T10
CB-00061,B-000011,spec,,Spec §3.1 Base 16 questions,Q11,Q11 PauseLength,requisito,Q11,Q11 question copy: ¿Qué tan larga fue la pausa?,,,,11,"Q11 (PauseLength) — Question: ¿Qué tan larga fue la pausa? | Type: single, conditional | Options/Field: Visible only if Q10 = 'Regreso después de una pausa'. Options: Menos de 3 meses · Entre 3 y 12 meses · Más de un año [@prompt §3.1]",spec question copy,T13
CB-00062,B-000011,spec,,Spec §3.1 Base 16 questions,Q11,Q11 PauseLength,regla,Q11,"Q11 type: single, conditional","Q11 type: single, conditional",,,11,"Q11 (PauseLength) — Question: ¿Qué tan larga fue la pausa? | Type: single, conditional | Options/Field: Visible only if Q10 = 'Regreso después de una pausa'. Options: Menos de 3 meses · Entre 3 y 12 meses · Más de un año [@prompt §3.1]",spec field type/validation,T13
CB-00063,B-000011,spec,,Spec §3.1 Base 16 questions,Q11,Q11 PauseLength,definicion,Q11,Q11 option: Visible only if Q10 = 'Regreso después de una pausa'. Options: Menos de 3 meses,Q11 option: Visible only if Q10 = 'Regreso después de una pausa'. Options: Menos de 3 meses,,,11; 10; 3,"Q11 (PauseLength) — Question: ¿Qué tan larga fue la pausa? | Type: single, conditional | Options/Field: Visible only if Q10 = 'Regreso después de una pausa'. Options: Menos de 3 meses · Entre 3 y 12 meses · Más de un año [@prompt §3.1]",spec option (split),T13
CB-00064,B-000011,spec,,Spec §3.1 Base 16 questions,Q11,Q11 PauseLength,definicion,Q11,Q11 option: Entre 3 y 12 meses,,,,11; 3; 12,"Q11 (PauseLength) — Question: ¿Qué tan larga fue la pausa? | Type: single, conditional | Options/Field: Visible only if Q10 = 'Regreso después de una pausa'. Options: Menos de 3 meses · Entre 3 y 12 meses · Más de un año [@prompt §3.1]",spec option (split),T13
CB-00065,B-000011,spec,,Spec §3.1 Base 16 questions,Q11,Q11 PauseLength,definicion,Q11,Q11 option: Más de un año,,,,11,"Q11 (PauseLength) — Question: ¿Qué tan larga fue la pausa? | Type: single, conditional | Options/Field: Visible only if Q10 = 'Regreso después de una pausa'. Options: Menos de 3 meses · Entre 3 y 12 meses · Más de un año [@prompt §3.1]",spec option (split),T13
CB-00066,B-000012,spec,,Spec §3.1 Base 16 questions,Q12,Q12 Medical,requisito,Q12,Q12 question copy: ¿Tienes alguna condición médica?,,,,12,"Q12 (Medical) — Question: ¿Tienes alguna condición médica? | Type: multi, required | Options/Field: Ninguna · Lesión o dolor articular/muscular · Condición cardiovascular o de presión · Embarazo (visible only if Q2 = Mujer) · Otra, la comento en el club [@prompt §3.1]",spec question copy,T10
CB-00067,B-000012,spec,,Spec §3.1 Base 16 questions,Q12,Q12 Medical,regla,Q12,"Q12 type: multi, required",,,,12,"Q12 (Medical) — Question: ¿Tienes alguna condición médica? | Type: multi, required | Options/Field: Ninguna · Lesión o dolor articular/muscular · Condición cardiovascular o de presión · Embarazo (visible only if Q2 = Mujer) · Otra, la comento en el club [@prompt §3.1]",spec field type/validation,T10
CB-00068,B-000012,spec,,Spec §3.1 Base 16 questions,Q12,Q12 Medical,definicion,Q12,Q12 option: Ninguna,,,,12,"Q12 (Medical) — Question: ¿Tienes alguna condición médica? | Type: multi, required | Options/Field: Ninguna · Lesión o dolor articular/muscular · Condición cardiovascular o de presión · Embarazo (visible only if Q2 = Mujer) · Otra, la comento en el club [@prompt §3.1]",spec option (split),T10
CB-00069,B-000012,spec,,Spec §3.1 Base 16 questions,Q12,Q12 Medical,definicion,Q12,Q12 option: Lesión o dolor articular/muscular,,,,12,"Q12 (Medical) — Question: ¿Tienes alguna condición médica? | Type: multi, required | Options/Field: Ninguna · Lesión o dolor articular/muscular · Condición cardiovascular o de presión · Embarazo (visible only if Q2 = Mujer) · Otra, la comento en el club [@prompt §3.1]",spec option (split),T10
CB-00070,B-000012,spec,,Spec §3.1 Base 16 questions,Q12,Q12 Medical,definicion,Q12,Q12 option: Condición cardiovascular o de presión,,,,12,"Q12 (Medical) — Question: ¿Tienes alguna condición médica? | Type: multi, required | Options/Field: Ninguna · Lesión o dolor articular/muscular · Condición cardiovascular o de presión · Embarazo (visible only if Q2 = Mujer) · Otra, la comento en el club [@prompt §3.1]",spec option (split),T10
CB-00071,B-000012,spec,,Spec §3.1 Base 16 questions,Q12,Q12 Medical,definicion,Q12,Q12 option: Embarazo (visible only if Q2 = Mujer),Q12 option: Embarazo (visible only if Q2 = Mujer),,,12; 2,"Q12 (Medical) — Question: ¿Tienes alguna condición médica? | Type: multi, required | Options/Field: Ninguna · Lesión o dolor articular/muscular · Condición cardiovascular o de presión · Embarazo (visible only if Q2 = Mujer) · Otra, la comento en el club [@prompt §3.1]",spec option (split),T10
CB-00072,B-000012,spec,,Spec §3.1 Base 16 questions,Q12,Q12 Medical,definicion,Q12,"Q12 option: Otra, la comento en el club",,,,12,"Q12 (Medical) — Question: ¿Tienes alguna condición médica? | Type: multi, required | Options/Field: Ninguna · Lesión o dolor articular/muscular · Condición cardiovascular o de presión · Embarazo (visible only if Q2 = Mujer) · Otra, la comento en el club [@prompt §3.1]",spec option (split),T10
CB-00073,B-000013,spec,,Spec §3.1 Base 16 questions,Q13,Q13 Companion-Self,requisito,Q13,Q13 question copy: ¿Prefieres entrenar solo o acompañado?,,,,13,"Q13 (Companion-Self) — Question: ¿Prefieres entrenar solo o acompañado? | Type: single, required | Options/Field: Solo/Sola, a mi ritmo · Acompañado/Acompañada, en clases o grupo · Me da igual [@prompt §3.1]",spec question copy,T10
CB-00074,B-000013,spec,,Spec §3.1 Base 16 questions,Q13,Q13 Companion-Self,regla,Q13,"Q13 type: single, required",,,,13,"Q13 (Companion-Self) — Question: ¿Prefieres entrenar solo o acompañado? | Type: single, required | Options/Field: Solo/Sola, a mi ritmo · Acompañado/Acompañada, en clases o grupo · Me da igual [@prompt §3.1]",spec field type/validation,T10
CB-00075,B-000013,spec,,Spec §3.1 Base 16 questions,Q13,Q13 Companion-Self,definicion,Q13,"Q13 option: Solo/Sola, a mi ritmo",,,,13,"Q13 (Companion-Self) — Question: ¿Prefieres entrenar solo o acompañado? | Type: single, required | Options/Field: Solo/Sola, a mi ritmo · Acompañado/Acompañada, en clases o grupo · Me da igual [@prompt §3.1]",spec option (split),T10
