mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00791,,CB-00131,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Fuerza — Ideal user profile: Nivel Intermedio o Avanzado · personas que ya dominan la técnica de los compuestos básicos · objetivos de fuerza pura, rendimiento atlético o desarrollo de base de potencia.",spec Fuerza,Add to v4.2: Fuerza — Ideal user profile: Nivel Intermedio o Avanzado · personas que ya dominan la técnica de los compuestos básicos ,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00792,,CB-00132,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Fuerza — Cautions: Principiantes deben pasar primero por Hipertrofia o Resistencia muscular para construir técnica · contraindicado con lesión articular activa o condiciones cardiovasculares no estabilizadas · requiere supervisión inicial.,spec Fuerza,Add to v4.2: Fuerza — Cautions: Principiantes deben pasar primero por Hipertrofia o Resistencia muscular para construir técnica · con,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00793,,CB-00133,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Subgroup Hipertrofia — URL slug: /entrenamiento-con-pesas-individual/hipertrofia,spec Hipertrofia,Add to v4.2: Subgroup Hipertrofia — URL slug: /entrenamiento-con-pesas-individual/hipertrofia,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00794,,CB-00134,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Hipertrofia — Tagline (ES MX): Más músculo, menos grasa, mejor figura.",spec Hipertrofia,"Add to v4.2: Hipertrofia — Tagline (ES MX): Más músculo, menos grasa, mejor figura.",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00795,,CB-00135,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Hipertrofia — Prescription: Volumen semanal ≈10 series por grupo muscular · rango de carga amplio (60–85% 1RM funciona) · 6–15 repeticiones · 60–90 s de descanso entre series · 2–4 sesiones por semana · prioridad al volumen total semanal sobre el detalle del rango de carga.,spec Hipertrofia,Add to v4.2: Hipertrofia — Prescription: Volumen semanal ≈10 series por grupo muscular · rango de carga amplio (60–85% 1RM funciona) ,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00796,,CB-00136,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Hipertrofia — Equipment: Pesas libres: mancuernas de rango completo, barras EZ, kettlebells. Máquinas selectorizadas: prensa de pierna, leg curl, leg extension, jalón al pecho, remo sentado, press de hombros, máquina pec deck. Cables y poleas: torre de cable con manijas intercambiables. Bandas: para",spec Hipertrofia,"Add to v4.2: Hipertrofia — Equipment: Pesas libres: mancuernas de rango completo, barras EZ, kettlebells. Máquinas selectorizadas: pr",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00797,,CB-00137,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Hipertrofia — Representative exercises: Sentadilla goblet, prensa de pierna, hip thrust, curl de bíceps (mancuerna y cable), elevaciones laterales, jalón al pecho, cruces en polea, extensiones de tríceps, leg curl, leg extension, remo sentado en cable, press de hombros con mancuernas.",spec Hipertrofia,"Add to v4.2: Hipertrofia — Representative exercises: Sentadilla goblet, prensa de pierna, hip thrust, curl de bíceps (mancuerna y cab",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00798,,CB-00138,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Hipertrofia — Primary benefits: Aumento de masa muscular (área de sección transversal) · recomposición corporal · mejora de estética corporal (definición y volumen) · mejora de la sensibilidad a la insulina · mantenimiento de masa magra durante déficit calórico (clave para Bajar de peso).,spec Hipertrofia,Add to v4.2: Hipertrofia — Primary benefits: Aumento de masa muscular (área de sección transversal) · recomposición corporal · mejora,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00799,,CB-00139,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Hipertrofia — Ideal user profile: Cualquier nivel · meta principal 'Mejorar mi estética corporal' o 'Bajar de peso' · personas que buscan recomposición · transición desde principiante hacia entrenamientos más exigentes.,spec Hipertrofia,Add to v4.2: Hipertrofia — Ideal user profile: Cualquier nivel · meta principal 'Mejorar mi estética corporal' o 'Bajar de peso' · pe,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00800,,CB-00140,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Hipertrofia — Cautions: Volumen alto requiere recuperación adecuada · principiantes deben empezar con cargas conservadoras y técnica antes de buscar volumen.,spec Hipertrofia,Add to v4.2: Hipertrofia — Cautions: Volumen alto requiere recuperación adecuada · principiantes deben empezar con cargas conservador,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00801,,CB-00141,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Subgroup Potencia — URL slug: /entrenamiento-con-pesas-individual/potencia,spec Potencia,Add to v4.2: Subgroup Potencia — URL slug: /entrenamiento-con-pesas-individual/potencia,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00802,,CB-00142,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Potencia — Tagline (ES MX): Fuerza que se mueve rápido.,spec Potencia,Add to v4.2: Potencia — Tagline (ES MX): Fuerza que se mueve rápido.,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00803,,CB-00143,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Potencia — Prescription: Carga moderada 30–70% 1RM · 3–6 repeticiones · intención concéntrica de máxima velocidad · 2–5 min de descanso entre series · 2–3 sesiones por semana · ejercicios explosivos al inicio de la sesión cuando el sistema nervioso está fresco.,spec Potencia,Add to v4.2: Potencia — Prescription: Carga moderada 30–70% 1RM · 3–6 repeticiones · intención concéntrica de máxima velocidad · 2–5 ,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00804,,CB-00144,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Potencia — Equipment: Pesas libres: barras olímpicas, mancuernas de mango ancho, kettlebells de peso variable. Implementos balísticos: balones medicinales (slam balls), wall balls. Plyo boxes (varias alturas). Bandas y cadenas (resistencia acomodada para clean y press). Plataformas de levantamiento ",spec Potencia,"Add to v4.2: Potencia — Equipment: Pesas libres: barras olímpicas, mancuernas de mango ancho, kettlebells de peso variable. Implement",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00805,,CB-00145,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Potencia — Representative exercises: Power clean, push press, kettlebell swing (americano y ruso), sentadilla con salto (jump squat), lanzamiento de balón medicinal contra pared, box jump, broad jump, push-press, snatch desde el bloque.",spec Potencia,"Add to v4.2: Potencia — Representative exercises: Power clean, push press, kettlebell swing (americano y ruso), sentadilla con salto ",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00806,,CB-00146,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Potencia — Primary benefits: Mejora de la tasa de producción de fuerza · rendimiento deportivo (sprint, salto, cambios de dirección) · prevención de caídas y recuperación neuromuscular en adultos mayores cuando se prescribe con cargas conservadoras · mejora de la coordinación intermuscular.",spec Potencia,"Add to v4.2: Potencia — Primary benefits: Mejora de la tasa de producción de fuerza · rendimiento deportivo (sprint, salto, cambios d",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00807,,CB-00147,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Potencia — Ideal user profile: Nivel Intermedio o Avanzado · base previa de fuerza · deportistas o personas con metas de rendimiento atlético · adultos mayores bajo supervisión específica.,spec Potencia,Add to v4.2: Potencia — Ideal user profile: Nivel Intermedio o Avanzado · base previa de fuerza · deportistas o personas con metas de,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00808,,CB-00148,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Potencia — Cautions: Requiere técnica supervisada · contraindicado con lesión articular aguda · no recomendado como primer contacto con pesas · cargas más bajas y volumen reducido en presencia de hipertensión no controlada.,spec Potencia,Add to v4.2: Potencia — Cautions: Requiere técnica supervisada · contraindicado con lesión articular aguda · no recomendado como prim,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00809,,CB-00149,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Subgroup Resistencia muscular — URL slug: /entrenamiento-con-pesas-individual/resistencia-muscular,spec Resistencia muscular,Add to v4.2: Subgroup Resistencia muscular — URL slug: /entrenamiento-con-pesas-individual/resistencia-muscular,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00810,,CB-00150,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Resistencia muscular — Tagline (ES MX): Aguante para hacer más, durante más tiempo.",spec Resistencia muscular,"Add to v4.2: Resistencia muscular — Tagline (ES MX): Aguante para hacer más, durante más tiempo.",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
