mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00341,CA-00829,,COMPATIBLE_NO_EDIT,false,alta,The 34 FitKidz activities are organized within the FitKidz hub by:,body[765,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00342,CA-00830,,COMPATIBLE_NO_EDIT,false,alta,"Age range (toddlers, kids, pre-teens, teens- concrete ranges set by the content team).",body[766,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00343,CA-00831,,COMPATIBLE_NO_EDIT,false,alta,"Discipline type (aquatic, athletic, expressive, martial, fitness).",body[767,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00344,CA-00832,,COMPATIBLE_NO_EDIT,false,alta,Club availability (which clubs offer this activity).,body[768,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00345,CA-00833,,COMPATIBLE_NO_EDIT,false,alta,Rule 31 -Buttons shown when surfacing clubs in FitKidz,body[770]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00346,CA-00834,,COMPATIBLE_NO_EDIT,false,alta,"When the user is on FitKidz and the system surfaces up to 3 proposed clubs (per the geographic rules in Rule 24), each of the 3 clubs is presented with three of its own buttons:",body[771,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00347,CA-00835,,COMPATIBLE_NO_EDIT,false,alta,1.,body[773,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00348,CA-00836,,COMPATIBLE_NO_EDIT,false,alta,Conoce elclub,body[773]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00349,CA-00837,,COMPATIBLE_NO_EDIT,false,alta,2.,body[774,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00350,CA-00838,,COMPATIBLE_NO_EDIT,false,alta,Agenda una visi ta guiada,body[774]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00351,CA-00839,,COMPATIBLE_NO_EDIT,false,alta,selected.,body[775,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00352,CA-00840,,COMPATIBLE_NO_EDIT,false,alta,3.,body[776,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00353,CA-00841,,COMPATIBLE_NO_EDIT,false,alta,Clases FitKidz disponibles para tu familia,body[776]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00354,CA-00842,,COMPATIBLE_NO_EDIT,false,alta,(View the club) - leads to the individual club page.,body[777,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00355,CA-00843,,COMPATIBLE_NO_EDIT,false,alta,(Book a guided visit) - guided-visit flow with that club,body[778,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00356,CA-00844,,COMPATIBLE_NO_EDIT,false,alta,(Available FitKidz classes for your,body[780,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00357,CA-00845,,COMPATIBLE_NO_EDIT,false,alta,"family) - shows the FitKidz classes at that specific club, with schedules.",body[782,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00358,CA-00846,CB-00120,REQUIERE_EDIT,false,alta,Rule 32 - User state with respect to the questionnaire,body[784]/Heading4,Paths A/B/C/D = 16/17/19/20 visible questions,spec §3.3,"Update counts and unify conditional pattern: base 16, +Q11 pause, +Q17-19 WL",Rule 32,new visible-question counts and unified conditional logic
M-00359,CA-00847,CB-00120,REQUIERE_EDIT,false,alta,"To build the contextual menu of each page, the system classifies the user into one of three states:",body[785,Paths A/B/C/D = 16/17/19/20 visible questions,spec §3.3,"Update counts and unify conditional pattern: base 16, +Q11 pause, +Q17-19 WL",Rule 32,new visible-question counts and unified conditional logic
M-00360,CA-00848,CB-00120,REQUIERE_EDIT,false,alta,StateDescription,body[787,Paths A/B/C/D = 16/17/19/20 visible questions,spec §3.3,"Update counts and unify conditional pattern: base 16, +Q11 pause, +Q17-19 WL",Rule 32,new visible-question counts and unified conditional logic
