mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00024,CA-00361,,COMPATIBLE_NO_EDIT,false,baja,Each piece of navigation lives in exactly one place to avoid duplication.,body[300,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00025,CA-00378,,COMPATIBLE_NO_EDIT,false,baja,On press: leads to the guided-visit booking flow,body[312,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00026,CA-00379,,COMPATIBLE_NO_EDIT,false,baja,"If the user has not completed the questionnaire yet, the questionnaire is presented as a prerequisite step before confirming the appointment.",body[312,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00027,CA-00469,CB-00119,COMPATIBLE_NO_EDIT,false,media,Bajar de pesoMedicalWebPage + hubcedula profesional),body[409,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00028,CA-00485,CB-00119,COMPATIBLE_NO_EDIT,false,media,Rule 14 - YMYL content rules,body[430]/Heading4,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00029,CA-00486,CB-00119,COMPATIBLE_NO_EDIT,false,media,The following pages are classified as YMYL (Your Money or Your Life -Google search-quality terminology for content that could affect a user's health or finances):,body[431,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00030,CA-00488,CB-00119,COMPATIBLE_NO_EDIT,false,media,Bajar de peso,body[432]/txbx[0]/p[0,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00031,CA-00491,CB-00119,COMPATIBLE_NO_EDIT,false,media,The following requirements apply to all YMYL pages:,body[436,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00032,CA-00493,,COMPATIBLE_NO_EDIT,false,baja,"Health disclaimer - before recommendations are shown, the user must see a disclaimer stating that the information is orientational and does not substitute a medical consultation.",body[438,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00033,CA-00501,,COMPATIBLE_NO_EDIT,false,media,User acquisition and routing,body[446]/Heading4,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00034,CA-00502,,COMPATIBLE_NO_EDIT,false,media,Rule 15 - Mapping search queries to pages,body[447,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00035,CA-00503,,COMPATIBLE_NO_EDIT,false,media,"When a user runs a search engine query related to Sports World, the site must take them to the page that best answers that query.",body[448,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00036,CA-00504,,COMPATIBLE_NO_EDIT,false,media,Query type,table@body[450]/r[0]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00037,CA-00505,,COMPATIBLE_NO_EDIT,false,media,Examples,table@body[450]/r[0]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00038,CA-00506,,COMPATIBLE_NO_EDIT,false,media,Landing page,table@body[450]/r[0]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00039,CA-00507,,COMPATIBLE_NO_EDIT,false,media,Pure brand search,table@body[450]/r[2]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00040,CA-00508,,COMPATIBLE_NO_EDIT,false,media,"sports world,( sports world mexico)",table@body[450]/r[2]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00041,CA-00509,,COMPATIBLE_NO_EDIT,false,media,Home,table@body[450]/r[2]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00042,CA-00510,,COMPATIBLE_NO_EDIT,false,media,Brand + specific,table@body[450]/r[3]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00043,CA-00511,,COMPATIBLE_NO_EDIT,false,media,"sports world polanco,",table@body[450]/r[3]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00044,CA-00512,,COMPATIBLE_NO_EDIT,false,media,The specific club's page,table@body[450]/r[3]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00045,CA-00513,,COMPATIBLE_NO_EDIT,false,media,location,table@body[450]/r[4]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00046,CA-00514,,COMPATIBLE_NO_EDIT,false,media,sports world antara,table@body[450]/r[4]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00047,CA-00515,,COMPATIBLE_NO_EDIT,false,media,Gym near me,table@body[450]/r[5]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00048,CA-00516,,COMPATIBLE_NO_EDIT,false,media,"gimnasio cerca de mi,",table@body[450]/r[5]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00049,CA-00517,,COMPATIBLE_NO_EDIT,false,media,Closest club via geolocation,table@body[450]/r[5]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00050,CA-00518,,COMPATIBLE_NO_EDIT,false,media,If location,table@body[450]/r[5]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00051,CA-00519,,COMPATIBLE_NO_EDIT,false,media,gimnasio polanco,table@body[450]/r[6]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00052,CA-00520,,COMPATIBLE_NO_EDIT,false,media,"cannot be detected, lands on Home with the",table@body[450]/r[6]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00053,CA-00521,,COMPATIBLE_NO_EDIT,false,media,club-search flow already open.,table@body[450]/r[7]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00054,CA-00522,,COMPATIBLE_NO_EDIT,false,media,Amenity+location,table@body[450]/r[9]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00055,CA-00523,,COMPATIBLE_NO_EDIT,false,media,"alberca cdmx ,(yoga estudio",table@body[450]/r[9]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00056,CA-00524,,COMPATIBLE_NO_EDIT,false,media,Theamenityhub,table@body[450]/r[9]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00057,CA-00525,,COMPATIBLE_NO_EDIT,false,media,polanco),table@body[450]/r[11]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00058,CA-00526,,COMPATIBLE_NO_EDIT,false,media,Specific class,table@body[450]/r[12]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00059,CA-00527,,COMPATIBLE_NO_EDIT,false,media,"body pump , spinning cdmx ,",table@body[450]/r[12]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00060,CA-00528,,COMPATIBLE_NO_EDIT,false,media,That class's page,table@body[450]/r[12]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00061,CA-00529,,COMPATIBLE_NO_EDIT,false,media,pilates reformer,table@body[450]/r[13]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00062,CA-00530,,COMPATIBLE_NO_EDIT,false,media,Personal goal,table@body[450]/r[15]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00063,CA-00531,,COMPATIBLE_NO_EDIT,false,media,"tonificar ,( ganar masa",table@body[450]/r[15]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00064,CA-00532,,COMPATIBLE_NO_EDIT,false,media,Corresponding goal hub,table@body[450]/r[15]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00065,CA-00533,,COMPATIBLE_NO_EDIT,false,media,muscular1(primeros pasos en,table@body[450]/r[16]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00066,CA-00534,,COMPATIBLE_NO_EDIT,false,media,el gym),table@body[450]/r[17]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00067,CA-00535,,COMPATIBLE_NO_EDIT,false,media,Weight loss,table@body[450]/r[19]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00068,CA-00536,,COMPATIBLE_NO_EDIT,false,media,"bajar de peso,( perder peso",table@body[450]/r[19]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00069,CA-00537,,COMPATIBLE_NO_EDIT,false,media,Bajar de peso hub,table@body[450]/r[19]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00070,CA-00538,,COMPATIBLE_NO_EDIT,false,media,gym1(GLP-1 ozempic,table@body[450]/r[20]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00071,CA-00539,,COMPATIBLE_NO_EDIT,false,media,gimnasio),table@body[450]/r[21]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00072,CA-00540,,COMPATIBLE_NO_EDIT,false,media,Rehabilitation,table@body[450]/r[23]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00073,CA-00541,,COMPATIBLE_NO_EDIT,false,media,(rehabilitaci6n rodilla,table@body[450]/r[23]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00074,CA-00542,,COMPATIBLE_NO_EDIT,false,media,Rehabilitation hub,table@body[450]/r[23]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00075,CA-00543,,COMPATIBLE_NO_EDIT,false,media,gym1 ejercicio post lesion,table@body[450]/r[24]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00076,CA-00544,,COMPATIBLE_NO_EDIT,false,media,Children/ family,table@body[450]/r[25]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00077,CA-00545,,COMPATIBLE_NO_EDIT,false,media,"gimnasio para ninos,",table@body[450]/r[25]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00078,CA-00546,,COMPATIBLE_NO_EDIT,false,media,FitKidz,table@body[450]/r[25]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00079,CA-00547,,COMPATIBLE_NO_EDIT,false,media,"actividades familia,",table@body[450]/r[26]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00080,CA-00548,,COMPATIBLE_NO_EDIT,false,media,FitKidz,table@body[450]/r[27]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00081,CA-00549,,COMPATIBLE_NO_EDIT,false,media,Personal Training,table@body[450]/r[28]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00082,CA-00550,,COMPATIBLE_NO_EDIT,false,media,"entrenador personal,",table@body[450]/r[28]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00083,CA-00551,,COMPATIBLE_NO_EDIT,false,media,Personal Training,table@body[450]/r[28]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00084,CA-00552,,COMPATIBLE_NO_EDIT,false,media,personal trainer cdmx,table@body[450]/r[29]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00085,CA-00553,,COMPATIBLE_NO_EDIT,false,media,Pricing and,table@body[450]/r[30]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00086,CA-00554,,COMPATIBLE_NO_EDIT,false,media,"precio sports world,",table@body[450]/r[30]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00087,CA-00555,,COMPATIBLE_NO_EDIT,false,media,Memberships hub,table@body[450]/r[30]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00088,CA-00556,,COMPATIBLE_NO_EDIT,false,media,memberships,table@body[450]/r[31]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00089,CA-00557,,COMPATIBLE_NO_EDIT,false,media,uniclub vs allclub,table@body[450]/r[31]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00090,CA-00558,,COMPATIBLE_NO_EDIT,false,media,Fitness information,table@body[450]/r[32]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00091,CA-00559,,COMPATIBLE_NO_EDIT,false,media,"calorias spinning,",table@body[450]/r[32]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00092,CA-00560,,COMPATIBLE_NO_EDIT,false,media,Journal article on the topic,table@body[450]/r[32]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00093,CA-00561,,COMPATIBLE_NO_EDIT,false,media,(diferencia body pump vs combat),body[451,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00094,CA-00562,,COMPATIBLE_NO_EDIT,false,media,Query type,body[454,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00095,CA-00563,,COMPATIBLE_NO_EDIT,false,media,Sports World specific information,body[456,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00096,CA-00564,,COMPATIBLE_NO_EDIT,false,media,"Cancellations, freezes, support",body[457,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00097,CA-00565,,COMPATIBLE_NO_EDIT,false,media,Examples,body[458,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00098,CA-00566,,COMPATIBLE_NO_EDIT,false,media,"horario polanco,[alberca en antara)",body[460,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00099,CA-00567,,COMPATIBLE_NO_EDIT,false,media,Landing page,body[461,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00100,CA-00568,,COMPATIBLE_NO_EDIT,false,media,Home with the BES widget opened,body[463,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00101,CA-00569,,COMPATIBLE_NO_EDIT,false,media,",Home with the BES widget opened",body[467,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00102,CA-00570,,COMPATIBLE_NO_EDIT,false,media,c6mo cancelo mi memb resia,body[467]/txbx[0]/p[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00103,CA-00571,,COMPATIBLE_NO_EDIT,false,media,puedo congelar mi plan,body[467]/txbx[0]/p[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00104,CA-00572,,REQUIERE_EDIT,false,alta,Rule 16 - Inferring information from the external search query,body[471]/Heading4,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
M-00105,CA-00573,,REQUIERE_EDIT,false,alta,"When a user lands on the site from an external search, the system can infer only two",body[472,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
M-00106,CA-00574,,COMPATIBLE_NO_EDIT,false,media,questionnaire variables from what they searched:,body[473,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00107,CA-00575,,REQUIERE_EDIT,false,alta,"Goal (Pt)- only if the search contained an explicit goal (tone, build strength, health and wellness, first steps, recovery, weight loss).",body[474,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
M-00108,CA-00576,,REQUIERE_EDIT,false,alta,Location (P9) - only if the search contained a specific location.,body[475,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
M-00109,CA-00577,,REQUIERE_EDIT,false,alta,The following inferences are not drawn:,body[477,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
M-00110,CA-00578,,COMPATIBLE_NO_EDIT,false,media,"A class search does not fill in the goal, because the same class can serve multiple goals.",body[478,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00111,CA-00579,,REQUIERE_EDIT,false,alta,"An amenity search does not fill in movement preference (P4), because amenity* preference.",body[479,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
M-00112,CA-00580,,REQUIERE_EDIT,false,alta,"Landing on FitKidz does not fill in composition (P2), because the user may be researching the program for their kids while planning to train solo.",body[480,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
M-00113,CA-00581,,REQUIERE_EDIT,false,alta,"Landing on Personal Training does not fill in format (PS), because the user may simply be browsing.",body[481,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
M-00114,CA-00582,,COMPATIBLE_NO_EDIT,false,media,Landing on thehub does not force the 12-question variant- that variant,body[482,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00115,CA-00583,,COMPATIBLE_NO_EDIT,false,media,Ba jarde peso,body[482]/txbx[0]/p[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00116,CA-00584,,REQUIERE_EDIT,false,alta,only activates when the user actually marks P1 =in the questionnaire.,body[483,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
M-00117,CA-00585,,COMPATIBLE_NO_EDIT,false,media,Bajar de peso,body[483]/txbx[0]/p[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00118,CA-00586,,REQUIERE_EDIT,false,alta,Landing on a page through internal navigation infers nothing,body[484,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
M-00119,CA-00587,,REQUIERE_EDIT,false,alta,Only the external search that brought the user to the site counts toward variable inference.,body[484,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
