id,seccion,hallazgo,tipo,severidad,estado,evidencia_antes,evidencia_despues
A-021,CEI / salud,"El proceso prohíbe salud en captación digital, pero la arquitectura UX la pregunta y usa.",contradicción,CRÍTICA,abierto,,
A-022,Experience / consentimiento,La experiencia digital procesa datos sensibles antes de mostrar el consentimiento/contacto.,consentimiento,CRÍTICA,abierto,,
A-023,Visita / datos de salud,"El primer cruce de salud se guarda en el Brief comercial, contra la segregación declarada.",privacidad,CRÍTICA,abierto,,
A-024,Geografía,"El MPC dice que no se recolecta código postal/domicilio, pero el cuestionario y los agentes lo solicitan.",contradicción,ALTA,abierto,,
A-025,Motor de recomendación,Se derivan reglas de salud y tratamientos sin marcar origen ni revisión humana.,dato,CRÍTICA,abierto,,
A-026,BA-01,El brief interno se muestra o entrega al prospecto en la arquitectura UX.,privacidad,ALTA,abierto,,
A-027,BA-01,El brief no tiene estructura canónica.,inconsistencia,ALTA,abierto,,
A-028,Web autónoma,Cerrar o recargar el navegador borra todo y obliga a preguntar de nuevo.,experiencia,ALTA,abierto,,
A-029,Visita paso 20,El asesor vuelve a confirmar uno por uno datos ya capturados.,experiencia,ALTA,abierto,,
A-030,Modelo de datos,"No se distingue dato declarado, derivado y recomendado.",dato,CRÍTICA,abierto,,
A-031,IA / trazabilidad,"No se registra modelo, prompt, versión de KB o regla que produjo EI/Brief.",dato,ALTA,abierto,,
A-032,Fallback LLM,El fallback determinista produce un resultado más corto sin estado operativo visible.,estado faltante,MEDIA,abierto,,
A-033,Copy privacidad,La frase ‘No los compartimos con terceros’ es engañosa frente al uso de encargados tecnológicos.,privacidad,ALTA,abierto,,
A-034,Promesa de duración,‘Un minuto’/‘1.5 minutos’ no está sustentado para 17–21 preguntas más avisos y ramificaciones.,experiencia,MEDIA,abierto,,
A-035,Asignación de asesor,"La preferencia por asesor del mismo género no tiene regla para identidad no binaria, negativa o disponibilidad.",experiencia,MEDIA,abierto,,
A-036,Agenda / E4,"E4 se llama ‘visita agendada’ al confirmar escritura CRM, no disponibilidad ni aceptación del club.",estado faltante,CRÍTICA,abierto,,
A-037,Agenda,"Solo se valida horario de atención; no capacidad, cupo, asesor o restricciones del club.",hueco lógico,CRÍTICA,abierto,,
A-038,Confirmación al prospecto,Algunos textos confirman ‘quedó agendada’ antes del acuse del club.,contradicción,ALTA,abierto,,
A-039,Visita,No existe una máquina de estados completa de la visita.,estado faltante,CRÍTICA,abierto,,
A-040,No-show,No hay procedimiento ejecutable para no-show aunque se reconoce como dolor operativo.,excepción,CRÍTICA,abierto,,
A-041,Cancelación / reprogramación,No hay ruta cross-channel para cancelar o reprogramar y reconciliar recordatorios.,hueco lógico,ALTA,abierto,,
A-042,Recordatorios,Los recordatorios 24 h y 2 h no contemplan citas creadas con menos anticipación.,excepción,MEDIA,abierto,,
A-043,Acuse del club,El SLA de acuse no tiene escalación ni propietario cuando el club incumple.,ownership,ALTA,abierto,,
A-044,Handoff por correo,"El brief y datos completos se envían por correo al club, incluso como fallback del CRM.",seguridad,CRÍTICA,abierto,,
A-045,Catálogo / operación,"Horarios, correos, roster y disponibilidad necesarios para operar no tienen dueño de calidad ni SLA de actualización completo.",ownership,ALTA,abierto,,
A-046,Visita / capacidad,"No hay excepción completa para ausencia de entrenador, clase, locker, accesibilidad o área crítica.",excepción,ALTA,abierto,,
A-047,Visita / seguridad física,"No existe flujo de emergencia, lesión o incidente durante cuestionario, valoración o tour.",seguridad,CRÍTICA,abierto,,
A-048,Visita sin plan,"P-01 exige cuestionario/brief, pero el tour estándar puede continuar sin plan disponible.",contradicción,ALTA,abierto,,
A-049,CRM / idempotencia,"La idempotencia por session_uuid no evita duplicados entre sesiones, dispositivos o canales.",CRM,CRÍTICA,abierto,,
A-050,Conciliación E4–E7,La llave nombre+apellido+teléfono+club es frágil y cambia con correcciones o visitas a otro club.,dato,ALTA,abierto,,
A-051,CRM / estados,El modelo CRM no contiene estados comerciales y operativos suficientes.,estado faltante,CRÍTICA,abierto,,
A-052,CRM / origen,"El enum de origen omite BES web, corporate, referido, walk-in y teléfono.",CRM,CRÍTICA,abierto,,
A-053,CRM / consentimiento,"El contrato de datos no conserva alcance, versión del aviso, método, evidencia y timestamp de consentimiento.",consentimiento,CRÍTICA,abierto,,
A-054,Cambio de canal,"No hay regla de merge ni atribución cuando una persona cambia de web a WhatsApp, teléfono o walk-in.",canal,ALTA,abierto,,
A-055,Momento de escritura CRM,WhatsApp/consola crean registro sin cita antes de agendar; web autónoma solo escribe al agendar.,inconsistencia,ALTA,abierto,,
A-056,Evento E3,"E3 depende de ‘respuesta del modelo’, aunque el sistema tiene fallback determinista.",contradicción,MEDIA,abierto,,
A-057,Evento E6,"E6 tiene tres definiciones incompatibles: aceptación de plan, membresía contratada y alta/activación CRM.",contradicción,CRÍTICA,abierto,,
A-058,Retención / derechos,"No hay calendario de retención, bloqueo, eliminación ni propagación de ARCO a CRM, funnel, correo, colas y proveedores.",privacidad,CRÍTICA,abierto,,
A-059,Catálogo diario,No existe máximo de antigüedad ni cierre seguro cuando falla la sincronización de las 06:00.,excepción,ALTA,abierto,,
A-060,Dashboard,Se promete vista en tiempo real mientras varias fuentes actualizan diario o periódicamente.,dato,ALTA,abierto,,
A-061,Colas / fallos,"Las colas cifradas no tienen TTL numérico, DLQ, owner, runbook ni reconciliación.",excepción,CRÍTICA,abierto,,
A-062,MV / precio,"La excepción ‘solo quiero precio/tengo prisa’ permite tres preguntas y precio, contra P-01 y el CEI íntegro.",contradicción,ALTA,abierto,,
A-063,Rol clínico,"El manual excluye intervención clínica, pero el SOP hace que el asesor aplique cuestionario y matriz de contraindicaciones.",contradicción,CRÍTICA,abierto,,
A-064,Promesas de resultado,El entrenador debe explicar cómo y ‘en qué plazo’ se logrará el resultado sin marco de evidencia.,experiencia,ALTA,abierto,,
A-065,Oferta P-08,"La condición ofrecida ‘vincula a la empresa’, pero manual y alta solo reconocen condiciones vigentes.",contradicción,CRÍTICA,abierto,,
A-066,Contrato / pago,El flujo cobra antes de que el contrato esté firmado.,operación,CRÍTICA,abierto,,
A-067,Alta postpago,"Si el CRM falla después del pago, no hay rollback, compensación, SLA ni comunicación completa.",excepción,CRÍTICA,abierto,,
A-068,Segundo cruce de salud,"El segundo cruce está duplicado y su dueño, documento, almacenamiento y efecto siguen ‘Por definir’.",ownership,CRÍTICA,abierto,,
A-069,Momento de referidos,El manual prohíbe pedir referido antes del sí y luego permite pedirlo al no cierre; los SOP repiten ambos momentos.,contradicción,ALTA,abierto,,
A-070,Seguimiento / marketing,"Seguimiento, reactivación e invitación de acompañante no tienen propósito/consentimiento y supresión unificados.",consentimiento,ALTA,abierto,,
A-071,Pagos,"Proveedor de pago, tokenización, alcance PCI, reconciliación y disputas no están definidos.",seguridad,CRÍTICA,abierto,,
A-072,Marco legal,"El MPC cita una ley de ‘Sujetos Obligados’, inaplicable como título al responsable privado.",privacidad,ALTA,abierto,,
A-073,Consentimiento electrónico,El MPC trata el consentimiento electrónico de salud como jurídicamente imposible por duración del flujo.,consentimiento,ALTA,abierto,,
A-074,Aviso y consentimiento,"AP-01, AU-01 y guiones aprobados no existen como artefactos controlados ni se ubican siempre antes de la recolección.",consentimiento,CRÍTICA,abierto,,
A-075,Encargados,"No hay inventario operativo de encargados/subencargados, DPA, región, transferencia y configuración por sistema.",privacidad,CRÍTICA,abierto,,
A-076,Anthropic,"No está especificado ni verificado ZDR real para la organización, endpoints y modelos usados.",privacidad,CRÍTICA,abierto,,
A-077,Anthropic,No hay guardrails que impidan funciones no elegibles para ZDR.,seguridad,CRÍTICA,abierto,,
A-078,ElevenLabs,La configuración de privacidad de voz no está definida; por defecto puede conservar conversación y audio.,privacidad,CRÍTICA,abierto,,
A-079,ElevenLabs,El flujo no contempla que retención 0 sea eliminación programada ni cómo recuperar el resultado sin conservar conversación.,hueco lógico,ALTA,abierto,,
A-080,WhatsApp media,"No se define dónde se descarga, transcribe, cifra y elimina una nota de voz de WhatsApp.",seguridad,CRÍTICA,abierto,,
A-081,Incidentes,La obligación de notificar ‘de inmediato’ no está convertida en plan de respuesta.,seguridad,CRÍTICA,abierto,,
A-082,Control de acceso,"No existe matriz de roles y permisos para CRM, brief, salud, consola, colas, correo y dashboard.",seguridad,CRÍTICA,abierto,,
A-083,Verdad persistente,La arquitectura no garantiza que Sports World sea la única verdad persistente.,privacidad,CRÍTICA,abierto,,
A-084,Menores,El flujo de captación no detecta ni gobierna prospectos menores hasta el alta.,consentimiento,ALTA,abierto,,
A-085,Logs / correo,"La promesa de logs sin PII no cubre errores, payloads de webhook, herramientas LLM, correo y observabilidad de terceros.",seguridad,ALTA,abierto,,
A-086,Ownership E2E,"No existe RACI único para cada estado, excepción y handoff.",ownership,CRÍTICA,abierto,,
A-087,Volumen / costos,"El modelo de costos usa 80k–160k visitas y 30% de voz, distinto del supuesto operativo objetivo de ~160k/mes y ~20% de voz.",dato,ALTA,abierto,,
A-088,Arquitectura de proveedores,Los roles objetivo ‘Sports World conserva; Anthropic razona; ElevenLabs habla’ no están impuestos por interfaces y permisos.,ownership,CRÍTICA,abierto,,
